State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,season trim,season nombot,crop nombot,number randonnn
Maharashtra,SATARA,2007,Rabi       ,Gram,302,202,Rabi,2,3,0.849477542
Madhya Pradesh,GUNA,2006,Rabi       ,Linseed,179,216,Rabi,2,3,0.398546977
Punjab,MUKTSAR,2009,Kharif     ,Rice,100000,387000,Kharif,1,1,0.606944758
West Bengal,MURSHIDABAD,2010,Autumn     ,Groundnut,11,19,Autumn,3,3,0.487046216
Tamil Nadu,THANJAVUR,2004,Kharif     ,Sunflower,186,198,Kharif,1,3,0.534364194
West Bengal,COOCHBEHAR,2012,Summer     ,Moong(Green Gram),202,143,Summer,3,3,0.912032868
Assam,HAILAKANDI,1999,Whole Year ,Tobacco,1,1,Whole Year,3,3,0.101311279
Maharashtra,WASHIM,2009,Kharif     ,Rice,100,200,Kharif,1,1,0.452143343
West Bengal,BARDHAMAN,2000,Rabi       ,Khesari,876,1060,Rabi,2,3,0.251238327
Uttar Pradesh,AGRA,1999,Kharif     ,Castor seed,5,3,Kharif,1,3,0.045735898
Haryana,JHAJJAR,2003,Kharif     ,Moong(Green Gram),52,0,Kharif,1,3,0.617609845
Karnataka,CHITRADURGA,2010,Kharif     ,Bajra,1508,825,Kharif,1,3,0.28686289
Himachal Pradesh,KULLU,2010,Kharif     ,Groundnut,44,27,Kharif,1,3,0.887314645
Madhya Pradesh,DHAR,2003,Kharif     ,Bajra,5726,2985,Kharif,1,3,0.931456992
Odisha,ANUGUL,2004,Winter     ,Potato,576,5317.1,Winter,3,3,0.585349294
Uttar Pradesh,AGRA,2000,Kharif     ,Maize,201,400,Kharif,1,2,0.484009337
Assam,DHUBRI,2006,Kharif     ,Small millets,3436,1901,Kharif,1,3,0.933181967
Telangana ,NIZAMABAD,2002,Whole Year ,Dry ginger,46,75,Whole Year,3,3,0.125856981
Bihar,PURNIA,2010,Kharif     ,Sesamum,12,9,Kharif,1,3,0.20210012
Maharashtra,NAGPUR,2006,Kharif     ,Soyabean,263500,346600,Kharif,1,3,0.770219176
Maharashtra,BEED,1997,Rabi       ,Wheat,28300,20400,Rabi,2,3,0.92686111
Gujarat,RAJKOT,1999,Rabi       ,Rapeseed &Mustard,1200,1200,Rabi,2,3,0.222914599
Assam,DHUBRI,2005,Rabi       ,Linseed,667,367,Rabi,2,3,0.609074111
Rajasthan,CHITTORGARH,2002,Kharif     ,Cotton(lint),1523,994,Kharif,1,3,0.445867826
Odisha,PURI,2003,Whole Year ,Dry chillies,250,210,Whole Year,3,3,0.807144396
Karnataka,UTTAR KANNAD,2006,Whole Year ,Black pepper,254,621,Whole Year,3,3,0.070873541
Nagaland,DIMAPUR,2012,Rabi       ,Wheat,410,740,Rabi,2,3,0.456164758
Karnataka,BELLARY,2011,Summer     ,Onion,430,1836,Summer,3,3,0.95410319
Karnataka,DHARWAD,2009,Kharif     ,Small millets,1058,653,Kharif,1,3,0.478018526
Maharashtra,PARBHANI,2004,Kharif     ,Bajra,10500,5900,Kharif,1,3,0.212451991
Odisha,KORAPUT,1998,Summer     ,Groundnut,54,71,Summer,3,3,0.250900789
Gujarat,JUNAGADH,1999,Kharif     ,Castor seed,5800,10800,Kharif,1,3,0.572663404
Uttar Pradesh,KANPUR NAGAR,2007,Kharif     ,Sweet potato,420,5654,Kharif,1,3,0.116246083
Bihar,PURNIA,1999,Kharif     ,Maize,7394,12554,Kharif,1,2,0.561663841
Tamil Nadu,NAMAKKAL,2013,Kharif     ,Horse-gram,737,470,Kharif,1,3,0.49606284
West Bengal,HOOGHLY,2010,Rabi       ,Wheat,343,911,Rabi,2,3,0.993675962
Karnataka,SHIMOGA,2002,Rabi       ,Horse-gram,107,31,Rabi,2,3,0.098776931
Bihar,LAKHISARAI,2014,Rabi       ,Khesari,2374,1045,Rabi,2,3,0.151156335
Uttar Pradesh,RAE BARELI,1997,Whole Year ,Potato,5453,44184,Whole Year,3,3,0.115759485
Uttar Pradesh,LALITPUR,2002,Kharif     ,Urad,77509,11626,Kharif,1,3,0.989224654
Madhya Pradesh,TIKAMGARH,1999,Whole Year ,Onion,346,2448,Whole Year,3,3,0.475712758
Karnataka,RAICHUR,2007,Kharif     ,Groundnut,15476,9497,Kharif,1,3,0.763352639
Karnataka,CHAMARAJANAGAR,2001,Rabi       ,Horse-gram,26730,5180,Rabi,2,3,0.406015519
Gujarat,PANCH MAHALS,2006,Rabi       ,Jowar,500,400,Rabi,2,3,0.847207393
Uttar Pradesh,BAGHPAT,2012,Rabi       ,Wheat,53718,238830,Rabi,2,3,0.360117569
Tamil Nadu,THANJAVUR,2013,Kharif     ,Bajra,9,21,Kharif,1,3,0.826489342
Rajasthan,BHILWARA,2005,Rabi       ,Linseed,104,69,Rabi,2,3,0.031462801
West Bengal,COOCHBEHAR,2012,Rabi       ,Urad,3425,2644,Rabi,2,3,0.978935141
Karnataka,UDUPI,2011,Rabi       ,Groundnut,2050,4904,Rabi,2,3,0.440137711
Punjab,RUPNAGAR,2000,Rabi       ,Wheat,86000,312000,Rabi,2,3,0.707715678
Jharkhand,SARAIKELA KHARSAWAN,2010,Rabi       ,Potato,101,341,Rabi,2,3,0.235260517
Meghalaya,RI BHOI,2000,Whole Year ,Turmeric,67,498,Whole Year,3,3,0.529124628
Bihar,LAKHISARAI,2001,Whole Year ,Potato,119,1235,Whole Year,3,3,0.182973414
Odisha,BALANGIR,2004,Winter     ,Moong(Green Gram),3890,564.1,Winter,3,3,0.72510872
Uttar Pradesh,KANNAUJ,2014,Rabi       ,Coriander,26,13,Rabi,2,3,0.895610632
Uttar Pradesh,SITAPUR,2008,Rabi       ,Masoor,22503,17102,Rabi,2,3,0.717818428
Arunachal Pradesh,EAST KAMENG,2011,Whole Year ,Potato,103,711,Whole Year,3,3,0.068609847
Karnataka,GULBARGA,2010,Kharif     ,Horse-gram,1127,648,Kharif,1,3,0.838618993
Uttar Pradesh,KUSHI NAGAR,2003,Kharif     ,Arhar/Tur,1065,552,Kharif,1,3,0.592003559
Rajasthan,RAJSAMAND,2007,Rabi       ,Barley,7168,14316,Rabi,2,3,0.253496764
Uttar Pradesh,MATHURA,2002,Summer     ,Urad,7,3,Summer,3,3,0.032740601
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Cotton(lint),308,723,Kharif,1,3,0.086413966
Andhra Pradesh,GUNTUR,2000,Rabi       ,Rapeseed &Mustard,1331,98,Rabi,2,3,0.339483895
Bihar,SARAN,2008,Kharif     ,Bajra,4,4,Kharif,1,3,0.906946607
Tamil Nadu,KANNIYAKUMARI,2003,Whole Year ,Citrus Fruit,43,45,Whole Year,3,3,0.082696978
Odisha,CUTTACK,2008,Autumn     ,Rice,8000,5000,Autumn,3,1,0.209230287
Karnataka,BIJAPUR,1999,Whole Year ,Sugarcane,15680,1787520,Whole Year,3,3,0.815939805
Uttar Pradesh,KANNAUJ,2008,Rabi       ,Rapeseed &Mustard,10599,14886,Rabi,2,3,0.115932226
Odisha,BALESHWAR,2008,Winter     ,Horse-gram,1,0.5,Winter,3,3,0.821058259
Madhya Pradesh,NARSINGHPUR,2013,Kharif     ,Arhar/Tur,33600,38813,Kharif,1,3,0.560409636
Madhya Pradesh,BARWANI,2009,Kharif     ,Jowar,45200,63115,Kharif,1,3,0.981068291
Uttarakhand,DEHRADUN,2014,Whole Year ,Rice,9179,17672,Whole Year,3,1,0.13340912
Karnataka,TUMKUR,2005,Kharif     ,Potato,3,10,Kharif,1,3,0.455667049
Odisha,GAJAPATI,1999,Whole Year ,Sannhamp,70,200,Whole Year,3,3,0.06898168
Assam,DHEMAJI,2005,Rabi       ,Wheat,210,67,Rabi,2,3,0.661939577
Bihar,SAMASTIPUR,2010,Kharif     ,Sesamum,834,657,Kharif,1,3,0.096212945
Bihar,SAMASTIPUR,2006,Rabi       ,Gram,9,8,Rabi,2,3,0.078492323
Gujarat,VALSAD,2011,Kharif     ,Other Kharif pulses,600,300,Kharif,1,3,0.036232103
Uttar Pradesh,BALLIA,2010,Rabi       ,Barley,3808,9951,Rabi,2,3,0.981013139
Maharashtra,SOLAPUR,2006,Kharif     ,Cotton(lint),900,1500,Kharif,1,3,0.163784041
West Bengal,HOOGHLY,2005,Whole Year ,Sugarcane,107,8223,Whole Year,3,3,0.098806811
Rajasthan,SIKAR,2008,Kharif     ,Castor seed,17,12,Kharif,1,3,0.085793555
Assam,NAGAON,2004,Rabi       ,Gram,111,48,Rabi,2,3,0.778687489
Uttar Pradesh,MUZAFFARNAGAR,2011,Rabi       ,Potato,1999,19110,Rabi,2,3,0.832530955
Arunachal Pradesh,TAWANG,2004,Kharif     ,Rice,911,1230,Kharif,1,1,0.509887186
Karnataka,GADAG,1998,Summer     ,Peas & beans (Pulses),11,95,Summer,3,3,0.391511547
Assam,KARBI ANGLONG,2000,Rabi       ,Other  Rabi pulses,2875,1547,Rabi,2,3,0.69027379
Maharashtra,JALNA,1998,Kharif     ,Soyabean,4500,6800,Kharif,1,3,0.578343456
Maharashtra,AMRAVATI,1999,Kharif     ,Bajra,1000,500,Kharif,1,3,0.915676963
Uttarakhand,DEHRADUN,2014,Rabi       ,Gram,20,17,Rabi,2,3,0.401719024
Uttarakhand,RUDRA PRAYAG,2004,Kharif     ,Horse-gram,156,117,Kharif,1,3,0.194866022
Andhra Pradesh,EAST GODAVARI,2009,Whole Year ,Cashewnut,33459,9737,Whole Year,3,3,0.209325097
Uttar Pradesh,KANNAUJ,2011,Summer     ,Moong(Green Gram),813,455,Summer,3,3,0.222975455
Karnataka,DHARWAD,2012,Whole Year ,Coriander,60,32,Whole Year,3,3,0.330115777
Maharashtra,BULDHANA,2003,Whole Year ,Banana,1200,57930,Whole Year,3,3,0.234307284
Uttar Pradesh,BALRAMPUR,2010,Summer     ,Urad,32,20,Summer,3,3,0.721315269
Tamil Nadu,DINDIGUL,2009,Whole Year ,Sesamum,1209,333,Whole Year,3,3,0.123571192
Assam,KAMRUP METRO,2012,Rabi       ,Masoor,212,109,Rabi,2,3,0.018587048
Chhattisgarh,KANKER,2009,Rabi       ,Urad,64,17,Rabi,2,3,0.439395831
Tripura,WEST TRIPURA,2013,Rabi       ,Rapeseed &Mustard,91,67,Rabi,2,3,0.393090078
Uttar Pradesh,PILIBHIT,2011,Rabi       ,Masoor,2363,2292,Rabi,2,3,0.68761633
Karnataka,DAKSHIN KANNAD,2007,Kharif     ,Rice,33029,77189,Kharif,1,1,0.436199666
Maharashtra,RAIGAD,2008,Kharif     ,Ragi,10300,8800,Kharif,1,3,0.156103713
Telangana ,MEDAK,2011,Kharif     ,Arhar/Tur,31168,11875,Kharif,1,3,0.924582951
Madhya Pradesh,RATLAM,2000,Kharif     ,Cotton(lint),21530,10629,Kharif,1,3,0.407445
Andhra Pradesh,EAST GODAVARI,2006,Kharif     ,Arhar/Tur,917,441,Kharif,1,3,0.299774864
Bihar,SHEOHAR,2002,Whole Year ,Potato,327,2776,Whole Year,3,3,0.07838298
Andhra Pradesh,VISAKHAPATANAM,2011,Rabi       ,Cowpea(Lobia),450,359,Rabi,2,3,0.571118382
Karnataka,BELGAUM,2008,Summer     ,Jowar,320,624,Summer,3,3,0.105020322
Tamil Nadu,NAMAKKAL,2002,Whole Year ,Sugarcane,10661,1446560,Whole Year,3,3,0.636001024
Kerala,WAYANAD,2004,Whole Year ,Cardamom,4110,345,Whole Year,3,3,0.353793743
Uttar Pradesh,RAE BARELI,2009,Rabi       ,Onion,254,3290,Rabi,2,3,0.776998028
Andhra Pradesh,KADAPA,1999,Rabi       ,Groundnut,25822,40308,Rabi,2,3,0.386317592
Madhya Pradesh,MANDLA,2003,Whole Year ,Garlic,18,50,Whole Year,3,3,0.732521766
Chhattisgarh,BASTAR,2008,Rabi       ,Masoor,26,9,Rabi,2,3,0.048073254
Uttarakhand,PITHORAGARH,2014,Kharif     ,Other Kharif pulses,2384,2064,Kharif,1,3,0.745524762
Madhya Pradesh,MANDSAUR,2012,Whole Year ,Sugarcane,3,130,Whole Year,3,3,0.439746711
Uttar Pradesh,AMETHI,2011,Rabi       ,Rapeseed &Mustard,2704,1806,Rabi,2,3,0.255704452
Uttar Pradesh,AMROHA,2010,Rabi       ,Peas & beans (Pulses),87,101,Rabi,2,3,0.233720553
Karnataka,GULBARGA,2003,Rabi       ,Linseed,485,37,Rabi,2,3,0.939411738
Rajasthan,KARAULI,1997,Rabi       ,Gram,36200,33700,Rabi,2,3,0.197924138
Madhya Pradesh,RAISEN,2006,Rabi       ,Other  Rabi pulses,19,6,Rabi,2,3,0.944180729
Madhya Pradesh,DEWAS,2002,Whole Year ,Cabbage,84,0,Whole Year,3,3,0.877537067
Uttar Pradesh,MAHOBA,1997,Rabi       ,Gram,46394,34383,Rabi,2,3,0.42463318
Tamil Nadu,THIRUVALLUR,2011,Rabi       ,Jowar,4,7,Rabi,2,3,0.41242313
Gujarat,PATAN,2004,Whole Year ,Potato,100,3000,Whole Year,3,3,0.297773283
Karnataka,HASSAN,2007,Kharif     ,Potato,43327,110804,Kharif,1,3,0.780035083
Karnataka,BANGALORE RURAL,2007,Summer     ,Dry chillies,10,34,Summer,3,3,0.758342779
Madhya Pradesh,BALAGHAT,2009,Rabi       ,Urad,4323,1823,Rabi,2,3,0.984201245
Assam,DHEMAJI,2010,Whole Year ,Dry chillies,229,172,Whole Year,3,3,0.690503445
Jharkhand,DHANBAD,2007,Rabi       ,Rapeseed &Mustard,0.58,0.31,Rabi,2,3,0.298661532
Bihar,SAMASTIPUR,2014,Kharif     ,Mesta,1070,14279,Kharif,1,3,0.67696663
Maharashtra,AMRAVATI,2006,Rabi       ,Gram,73300,56700,Rabi,2,3,0.072056716
Bihar,SITAMARHI,2013,Kharif     ,Arhar/Tur,60,78,Kharif,1,3,0.810034875
Meghalaya,WEST GARO HILLS,2009,Winter     ,Rice,18153,33553,Winter,3,1,0.328242731
Uttar Pradesh,KANPUR DEHAT,2009,Summer     ,Onion,205,3023,Summer,3,3,0.025586352
Madhya Pradesh,NARSINGHPUR,2012,Kharif     ,Rice,12914,17213,Kharif,1,1,0.655650152
Tamil Nadu,TIRUVANNAMALAI,2013,Kharif     ,Castor seed,5,2,Kharif,1,3,0.11292424
Madhya Pradesh,MORENA,2002,Whole Year ,Garlic,2,3,Whole Year,3,3,0.434086259
Uttar Pradesh,DEORIA,1997,Summer     ,Moong(Green Gram),454,193,Summer,3,3,0.140439273
Madhya Pradesh,HARDA,2000,Rabi       ,Gram,28123,26460,Rabi,2,3,0.112295808
Madhya Pradesh,JHABUA,2010,Kharif     ,Urad,9233,4249,Kharif,1,3,0.403300336
West Bengal,HOWRAH,2006,Kharif     ,Urad,6,4,Kharif,1,3,0.675519382
Madhya Pradesh,DEWAS,2006,Kharif     ,Groundnut,654,719,Kharif,1,3,0.3473963
Bihar,MADHUBANI,2010,Kharif     ,Moong(Green Gram),134,88,Kharif,1,3,0.968671978
Punjab,SANGRUR,2012,Kharif     ,Cotton(lint),11000,44000,Kharif,1,3,0.646828419
Nagaland,PEREN,2013,Rabi       ,Sunflower,420,250,Rabi,2,3,0.354547868
Karnataka,SHIMOGA,2000,Kharif     ,Niger seed,169,44,Kharif,1,3,0.829156906
Karnataka,HAVERI,2009,Whole Year ,Coriander,45,22,Whole Year,3,3,0.983829646
Bihar,GOPALGANJ,2004,Whole Year ,Banana,13,167,Whole Year,3,3,0.055344988
Madhya Pradesh,KHANDWA,2006,Whole Year ,Sugarcane,155,6500,Whole Year,3,3,0.135172989
Andhra Pradesh,KURNOOL,1998,Kharif     ,Sunflower,58300,46600,Kharif,1,3,0.806784547
Madhya Pradesh,NEEMUCH,2013,Kharif     ,Other Kharif pulses,30,,Kharif,1,3,0.885279724
Haryana,KAITHAL,2000,Rabi       ,Rapeseed &Mustard,1847,2000,Rabi,2,3,0.377134119
Himachal Pradesh,BILASPUR,2005,Kharif     ,Dry chillies,11,3,Kharif,1,3,0.384686198
Rajasthan,JHALAWAR,1998,Kharif     ,Maize,43520,45457,Kharif,1,2,0.187380388
Rajasthan,JHUNJHUNU,2000,Whole Year ,Coriander,6,3,Whole Year,3,3,0.791154791
Gujarat,JUNAGADH,2010,Whole Year ,Dry chillies,300,300,Whole Year,3,3,0.477064153
Chhattisgarh,BILASPUR,2006,Kharif     ,Castor seed,3,1,Kharif,1,3,0.342826112
Bihar,MUNGER,2010,Kharif     ,Moong(Green Gram),184,120,Kharif,1,3,0.868079286
Odisha,KALAHANDI,2003,Kharif     ,Dry ginger,80,150,Kharif,1,3,0.417943134
Karnataka,CHIKMAGALUR,2000,Kharif     ,Moong(Green Gram),1374,544,Kharif,1,3,0.297296262
Uttar Pradesh,BARABANKI,2010,Kharif     ,Guar seed,22,18,Kharif,1,3,0.181986123
Uttar Pradesh,GHAZIPUR,2002,Summer     ,Urad,701,334,Summer,3,3,0.169908974
Uttar Pradesh,GHAZIPUR,2003,Kharif     ,Rice,155599,344404,Kharif,1,1,0.789578058
Uttar Pradesh,GHAZIPUR,2013,Kharif     ,Rice,148895,318040,Kharif,1,1,0.712813815
Gujarat,NAVSARI,2012,Kharif     ,Groundnut,100,,Kharif,1,3,0.903488321
Bihar,GOPALGANJ,1998,Whole Year ,Onion,165,1155,Whole Year,3,3,0.545755494
Maharashtra,NANDED,2012,Kharif     ,Castor seed,2800,800,Kharif,1,3,0.054884696
Chhattisgarh,DURG,2008,Kharif     ,Urad,2188,554,Kharif,1,3,0.088483968
Uttar Pradesh,JAUNPUR,2008,Kharif     ,Sugarcane,10010,535935,Kharif,1,3,0.262711268
Andhra Pradesh,KADAPA,2008,Rabi       ,Linseed,528,197,Rabi,2,3,0.364972516
Karnataka,RAMANAGARA,2011,Summer     ,Peas & beans (Pulses),1,9,Summer,3,3,0.209317671
Chhattisgarh,RAIGARH,2012,Rabi       ,Urad,169,32,Rabi,2,3,0.204813912
Gujarat,KACHCHH,2004,Kharif     ,Moong(Green Gram),60600,19900,Kharif,1,3,0.515503234
Gujarat,PANCH MAHALS,2009,Kharif     ,Cotton(lint),8700,22600,Kharif,1,3,0.217165454
Bihar,JEHANABAD,1999,Rabi       ,Wheat,38028,77884,Rabi,2,3,0.333900327
Chhattisgarh,DHAMTARI,2009,Whole Year ,Garlic,10,28,Whole Year,3,3,0.245759128
Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Safflower,162,33,Rabi,2,3,0.325435972
West Bengal,PURULIA,2011,Kharif     ,Urad,9114,2991,Kharif,1,3,0.968111056
Uttar Pradesh,ETAH,2013,Kharif     ,Sesamum,484,71,Kharif,1,3,0.211070108
Karnataka,CHIKMAGALUR,2005,Rabi       ,Groundnut,741,363,Rabi,2,3,0.834880793
Gujarat,VALSAD,2002,Whole Year ,Garlic,100,400,Whole Year,3,3,0.034343733
Maharashtra,DHULE,2011,Rabi       ,Other  Rabi pulses,600,200,Rabi,2,3,0.8714564
Karnataka,CHAMARAJANAGAR,2012,Rabi       ,Rice,5933,20646,Rabi,2,1,0.746135933
Odisha,SAMBALPUR,2001,Kharif     ,Dry ginger,430,830,Kharif,1,3,0.893021603
Uttar Pradesh,HATHRAS,2008,Summer     ,Moong(Green Gram),1618,921,Summer,3,3,0.44614523
Rajasthan,JHUNJHUNU,2002,Whole Year ,Garlic,321,642,Whole Year,3,3,0.366011701
Gujarat,DOHAD,2004,Kharif     ,Castor seed,100,200,Kharif,1,3,0.66210129
Uttar Pradesh,AURAIYA,2013,Rabi       ,Peas & beans (Pulses),138,241,Rabi,2,3,0.298162287
Uttarakhand,TEHRI GARHWAL,2009,Rabi       ,Barley,2268,1907,Rabi,2,3,0.807164171
Bihar,SAHARSA,2014,Rabi       ,Rapeseed &Mustard,1484,1920,Rabi,2,3,0.428004991
Madhya Pradesh,BHOPAL,2006,Whole Year ,Sesamum,164,50,Whole Year,3,3,0.789550498
Bihar,JEHANABAD,2008,Kharif     ,Ragi,64,52,Kharif,1,3,0.40970402
Jharkhand,SAHEBGANJ,2003,Rabi       ,Gram,838,806.16,Rabi,2,3,0.395149263
Uttar Pradesh,BULANDSHAHR,2007,Kharif     ,Sweet potato,113,1521,Kharif,1,3,0.560671569
Madhya Pradesh,HARDA,2000,Rabi       ,Safflower,9,3,Rabi,2,3,0.172622715
Gujarat,JUNAGADH,1999,Rabi       ,Jowar,10100,3600,Rabi,2,3,0.415151606
Bihar,SIWAN,2001,Kharif     ,Ragi,1656,2237,Kharif,1,3,0.151867555
Meghalaya,WEST GARO HILLS,1997,Kharif     ,Dry ginger,2325,10781,Kharif,1,3,0.276934129
Tamil Nadu,VIRUDHUNAGAR,2003,Kharif     ,Horse-gram,74,20,Kharif,1,3,0.510630314
Rajasthan,DAUSA,2009,Kharif     ,Cotton(lint),101,35,Kharif,1,3,0.288870029
Uttar Pradesh,KANNAUJ,2003,Rabi       ,Rapeseed &Mustard,10060,10539,Rabi,2,3,0.181820233
Bihar,KHAGARIA,2001,Rabi       ,Other  Rabi pulses,49,34,Rabi,2,3,0.358792585
West Bengal,MURSHIDABAD,2009,Summer     ,Maize,1505,7531,Summer,3,2,0.60630946
Madhya Pradesh,SHAHDOL,1998,Rabi       ,Rapeseed &Mustard,14000,4200,Rabi,2,3,0.920363992
Maharashtra,CHANDRAPUR,1997,Rabi       ,Other  Rabi pulses,3300,135,Rabi,2,3,0.816313706
Telangana ,NALGONDA,2008,Rabi       ,Moong(Green Gram),76,67,Rabi,2,3,0.026042932
West Bengal,BANKURA,1999,Summer     ,Rice,46486,126610,Summer,3,1,0.785469932
Punjab,FIROZEPUR,2002,Rabi       ,Rapeseed &Mustard,16000,14000,Rabi,2,3,0.403854529
Rajasthan,JAIPUR,2006,Whole Year ,Dry chillies,1495,1214,Whole Year,3,3,0.700874056
