CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT,RANDOM,crop type1,soil type1,weather condition1,region1
POTATO,HUMID,DESERT,40-50,SUNNY,11,0.924529278,12,3,4,4
SUGARCANE,HUMID,SEMI HUMID,30-40,RAINY,0.8,0.615120492,10,3,3,2
BANANA,HUMID,SEMI HUMID,40-50,WINDY,8.5,0.573517573,13,3,2,2
CITRUS,HUMID,HUMID,13-20,RAINY,0.1,0.930398902,6,3,3,1
CABBAGE,WET,SEMI ARID,40-50,SUNNY,7.33,0.038245312,14,2,4,3
BANANA,WET,DESERT,20-30,RAINY,0.3,0.194272138,13,2,3,4
MELON,DRY,SEMI ARID,20-30,WINDY,7.58,0.290078354,2,1,2,3
BANANA,HUMID,SEMI ARID,13-20,SUNNY,7.42,0.197705205,13,3,4,3
TOMATO,WET,SEMI ARID,13-20,NORMAL,3.06,0.740662584,1,2,1,3
COTTON,HUMID,DESERT,13-20,SUNNY,8.2,0.639311916,5,3,4,4
WHEAT,DRY,DESERT,20-30,SUNNY,13,0.332567247,8,1,4,4
CITRUS,DRY,SEMI HUMID,40-50,NORMAL,7.5,0.794554524,6,1,1,2
COTTON,DRY,SEMI HUMID,20-30,RAINY,0.5,0.091810775,5,1,3,2
ONION,WET,HUMID,13-20,NORMAL,0.1,0.681273501,4,2,1,1
ONION,WET,SEMI ARID,40-50,WINDY,0.3,0.061906896,4,2,2,3
WHEAT,WET,HUMID,40-50,RAINY,0.3,0.079132423,8,2,3,1
SUGARCANE,HUMID,HUMID,40-50,NORMAL,7.32,0.394275698,10,3,1,1
ONION,HUMID,DESERT,20-30,RAINY,5.25,0.605268919,4,3,3,4
BEAN,WET,SEMI ARID,20-30,WINDY,5.6,0.125862437,15,2,2,3
MELON,DRY,HUMID,20-30,WINDY,5.96,0.507916516,2,1,2,1
RICE,WET,SEMI ARID,13-20,NORMAL,8.5,0.231903541,9,2,1,3
SOYABEAN,HUMID,SEMI HUMID,13-20,RAINY,0.1,0.943091517,3,3,3,2
TOMATO,WET,HUMID,30-40,SUNNY,5,0.218789788,1,2,4,1
CABBAGE,DRY,SEMI HUMID,30-40,WINDY,7.2,0.492263923,14,1,2,2
CITRUS,HUMID,SEMI HUMID,13-20,RAINY,0.1,0.945547978,6,3,3,2
ONION,WET,DESERT,30-40,NORMAL,4.5,0.5945936,4,2,1,4
CITRUS,HUMID,SEMI ARID,40-50,RAINY,0.5,0.715062611,6,3,3,3
ONION,DRY,HUMID,30-40,RAINY,6.25,0.276543992,4,1,3,1
BEAN,HUMID,HUMID,13-20,SUNNY,4.3,0.388135665,15,3,4,1
SUGARCANE,WET,HUMID,30-40,SUNNY,5.98,0.76030352,10,2,4,1
CABBAGE,HUMID,SEMI HUMID,40-50,WINDY,7,0.021311137,14,3,2,2
CABBAGE,HUMID,DESERT,30-40,NORMAL,6.2,0.235782281,14,3,1,4
CITRUS,HUMID,SEMI HUMID,20-30,SUNNY,5.7,0.740537281,6,3,4,2
SUGARCANE,DRY,SEMI ARID,40-50,SUNNY,14,0.921013138,10,1,4,3
MELON,WET,HUMID,30-40,WINDY,4.5,0.786003414,2,2,2,1
WHEAT,DRY,SEMI ARID,20-30,RAINY,2.7,0.958644905,8,1,3,3
BANANA,HUMID,SEMI HUMID,40-50,SUNNY,9,0.972189372,13,3,4,2
TOMATO,HUMID,SEMI HUMID,30-40,NORMAL,5.42,0.794892339,1,3,1,2
CITRUS,DRY,SEMI HUMID,20-30,NORMAL,5.3,0.926922298,6,1,1,2
SOYABEAN,DRY,SEMI HUMID,30-40,RAINY,0.8,0.152784153,3,1,3,2
SUGARCANE,WET,SEMI ARID,30-40,NORMAL,7.35,0.058831071,10,2,1,3
BEAN,HUMID,SEMI HUMID,20-30,NORMAL,4.9,0.072576789,15,3,1,2
ONION,HUMID,SEMI HUMID,30-40,SUNNY,0.2,0.681136498,4,3,4,2
POTATO,WET,HUMID,30-40,WINDY,5.1,0.646003905,12,2,2,1
POTATO,DRY,SEMI ARID,40-50,RAINY,2.9,0.597367724,12,1,3,3
CABBAGE,WET,DESERT,13-20,WINDY,4.3,0.398645997,14,2,2,4
ONION,WET,DESERT,40-50,NORMAL,5.5,0.07025721,4,2,1,4
BANANA,WET,SEMI HUMID,30-40,NORMAL,5.54,0.803503575,13,2,1,2
BEAN,WET,SEMI HUMID,13-20,NORMAL,2.6,0.83294871,15,2,1,2
POTATO,DRY,SEMI HUMID,13-20,SUNNY,8.25,0.429904692,12,1,4,2
BANANA,DRY,SEMI HUMID,30-40,SUNNY,10.45,0.383158364,13,1,4,2
TOMATO,DRY,SEMI ARID,20-30,NORMAL,6.58,0.774734253,1,1,1,3
ONION,DRY,DESERT,20-30,RAINY,0.3,0.449834347,4,1,3,4
MELON,HUMID,SEMI ARID,30-40,NORMAL,6.14,0.294479182,2,3,1,3
SUGARCANE,WET,DESERT,13-20,NORMAL,6.2,0.089397474,10,2,1,4
BEAN,WET,SEMI HUMID,13-20,SUNNY,4.1,0.34731679,15,2,4,2
MUSTARD,WET,HUMID,40-50,NORMAL,4.44,0.009874301,11,2,1,1
MUSTARD,WET,SEMI HUMID,30-40,WINDY,5.34,0.869565814,11,2,2,2
BEAN,HUMID,SEMI ARID,20-30,WINDY,6.8,0.261539527,15,3,2,3
RICE,HUMID,SEMI HUMID,40-50,RAINY,4.5,0.989408483,9,3,3,2
BANANA,WET,DESERT,40-50,WINDY,9.15,0.111066317,13,2,2,4
SOYABEAN,DRY,HUMID,13-20,RAINY,0.1,0.374110763,3,1,3,1
BANANA,DRY,SEMI ARID,30-40,NORMAL,9.98,0.100017039,13,1,1,3
BANANA,HUMID,DESERT,30-40,NORMAL,8.7,0.329405129,13,3,1,4
BEAN,DRY,SEMI ARID,20-30,SUNNY,10.1,0.158136518,15,1,4,3
MUSTARD,HUMID,SEMI HUMID,13-20,RAINY,0.1,0.575426476,11,3,3,2
MUSTARD,DRY,DESERT,20-30,NORMAL,7.12,0.5605028,11,1,1,4
SOYABEAN,HUMID,SEMI HUMID,13-20,SUNNY,5.4,0.871682872,3,3,4,2
COTTON,DRY,DESERT,13-20,WINDY,9.65,0.257794856,5,1,2,4
COTTON,HUMID,DESERT,40-50,RAINY,1.5,0.441572655,5,3,3,4
WHEAT,HUMID,DESERT,13-20,SUNNY,9.56,0.863612855,8,3,4,4
RICE,DRY,DESERT,30-40,NORMAL,19,0.204512333,9,1,1,4
RICE,DRY,SEMI HUMID,30-40,SUNNY,17,0.70840473,9,1,4,2
POTATO,DRY,DESERT,20-30,WINDY,10.5,0.470099281,12,1,2,4
WHEAT,HUMID,SEMI HUMID,20-30,NORMAL,6.8,0.870355085,8,3,1,2
RICE,HUMID,DESERT,30-40,SUNNY,16.5,0.729892571,9,3,4,4
SOYABEAN,HUMID,HUMID,40-50,RAINY,0.3,0.173757376,3,3,3,1
TOMATO,WET,SEMI HUMID,20-30,WINDY,4.34,0.787376186,1,2,2,2
RICE,WET,SEMI ARID,30-40,RAINY,2.5,0.656811446,9,2,3,3
SUGARCANE,DRY,HUMID,13-20,SUNNY,8.4,0.499464521,10,1,4,1
MELON,HUMID,SEMI ARID,20-30,NORMAL,5.14,0.763473425,2,3,1,3
MUSTARD,HUMID,HUMID,40-50,SUNNY,7.02,0.833333845,11,3,4,1
MELON,WET,SEMI HUMID,20-30,SUNNY,4.84,0.292819012,2,2,4,2
MELON,DRY,SEMI HUMID,20-30,WINDY,6.86,0.955349835,2,1,2,2
WHEAT,HUMID,SEMI HUMID,30-40,NORMAL,7.9,0.348359278,8,3,1,2
CITRUS,DRY,SEMI HUMID,40-50,WINDY,8.5,0.303734536,6,1,2,2
BEAN,HUMID,DESERT,30-40,RAINY,0.8,0.081918933,15,3,3,4
POTATO,WET,DESERT,13-20,WINDY,6.15,0.782548237,12,2,2,4
CITRUS,HUMID,SEMI ARID,13-20,RAINY,0.1,0.44642046,6,3,3,3
CITRUS,WET,SEMI ARID,40-50,WINDY,6.83,0.066083854,6,2,2,3
MUSTARD,WET,SEMI HUMID,20-30,WINDY,4.34,0.071769901,11,2,2,2
SUGARCANE,HUMID,DESERT,20-30,WINDY,10.1,0.248145644,10,3,2,4
SOYABEAN,WET,SEMI ARID,30-40,NORMAL,5.7,0.805635809,3,2,1,3
SUGARCANE,HUMID,DESERT,20-30,RAINY,1.1,0.648740645,10,3,3,4
BEAN,WET,HUMID,30-40,SUNNY,5.2,0.161207686,15,2,4,1
SUGARCANE,WET,SEMI ARID,40-50,NORMAL,8.34,0.53110456,10,2,1,3
MELON,HUMID,SEMI ARID,40-50,RAINY,0.8,0.060844582,2,3,3,3
TOMATO,HUMID,SEMI HUMID,40-50,RAINY,0.5,0.335574685,1,3,3,2
MELON,DRY,HUMID,13-20,SUNNY,5.46,0.862959229,2,1,4,1
RICE,HUMID,SEMI ARID,40-50,NORMAL,14.5,0.168590529,9,3,1,3
MAIZE,WET,SEMI HUMID,30-40,NORMAL,4.34,0.907793176,7,2,1,2
MUSTARD,WET,HUMID,30-40,SUNNY,5,0.668965731,11,2,4,1
TOMATO,WET,SEMI ARID,20-30,RAINY,0.2,0.028711109,1,2,3,3
SOYABEAN,DRY,HUMID,30-40,SUNNY,8,0.349221125,3,1,4,1
MELON,WET,SEMI ARID,40-50,SUNNY,7.56,0.964697098,2,2,4,3
MELON,WET,SEMI HUMID,13-20,SUNNY,3.84,0.677574677,2,2,4,2
MELON,DRY,DESERT,30-40,NORMAL,8.12,0.811091395,2,1,1,4
TOMATO,WET,HUMID,20-30,WINDY,3.5,0.211369033,1,2,2,1
ONION,DRY,SEMI HUMID,30-40,WINDY,6.375,0.448918412,4,1,2,2
SUGARCANE,DRY,HUMID,40-50,WINDY,10.7,0.426145519,10,1,2,1
COTTON,DRY,SEMI HUMID,40-50,SUNNY,11.4,0.682922251,5,1,4,2
WHEAT,HUMID,SEMI HUMID,40-50,WINDY,9.7,0.082210788,8,3,2,2
MAIZE,WET,SEMI ARID,30-40,NORMAL,5.06,0.017315132,7,2,1,3
MELON,WET,SEMI ARID,30-40,NORMAL,5.06,0.981864228,2,2,1,3
WHEAT,WET,SEMI ARID,40-50,SUNNY,9.84,0.448093514,8,2,4,3
CABBAGE,WET,DESERT,30-40,NORMAL,5.33,0.163697419,14,2,1,4
SOYABEAN,HUMID,DESERT,20-30,WINDY,7.2,0.535044242,3,3,2,4
CITRUS,HUMID,HUMID,20-30,SUNNY,4.8,0.265263239,6,3,4,1
MUSTARD,DRY,SEMI ARID,30-40,SUNNY,9.08,0.585618814,11,1,4,3
RICE,HUMID,SEMI HUMID,30-40,WINDY,12.5,0.709372221,9,3,2,2
BEAN,HUMID,SEMI HUMID,30-40,NORMAL,5.8,0.172702182,15,3,1,2
CABBAGE,WET,HUMID,30-40,RAINY,0.1,0.099367648,14,2,3,1
BEAN,DRY,DESERT,13-20,RAINY,0.2,0.387538366,15,1,3,4
WHEAT,WET,HUMID,30-40,WINDY,5.48,0.379383225,8,2,2,1
MELON,DRY,HUMID,13-20,NORMAL,3.96,0.930333284,2,1,1,1
TOMATO,WET,HUMID,30-40,WINDY,4.5,0.116780853,1,2,2,1
COTTON,HUMID,SEMI ARID,30-40,SUNNY,9.42,0.30474321,5,3,4,3
MAIZE,DRY,DESERT,13-20,RAINY,0.5,0.321009327,7,1,3,4
ONION,WET,DESERT,20-30,NORMAL,3.5,0.249610166,4,2,1,4
CABBAGE,HUMID,SEMI HUMID,40-50,NORMAL,6,0.758318365,14,3,1,2
MUSTARD,DRY,SEMI ARID,30-40,NORMAL,7.58,0.450593625,11,1,1,3
MUSTARD,DRY,DESERT,20-30,WINDY,8.12,0.438416249,11,1,2,4
SUGARCANE,DRY,DESERT,40-50,RAINY,5.6,0.037050912,10,1,3,4
CITRUS,HUMID,HUMID,30-40,SUNNY,5.8,0.733069415,6,3,4,1
WHEAT,WET,HUMID,30-40,NORMAL,4.48,0.880065359,8,2,1,1
BANANA,WET,SEMI ARID,30-40,SUNNY,7.8,0.967758776,13,2,4,3
POTATO,HUMID,HUMID,13-20,WINDY,4.65,0.97144603,12,3,2,1
MELON,HUMID,SEMI HUMID,13-20,NORMAL,3.42,0.754083403,2,3,1,2
TOMATO,HUMID,DESERT,13-20,SUNNY,6.18,0.653777757,1,3,4,4
CABBAGE,HUMID,SEMI HUMID,20-30,SUNNY,5.7,0.176057094,14,3,4,2
CABBAGE,HUMID,DESERT,40-50,NORMAL,7.4,0.348411035,14,3,1,4
CABBAGE,HUMID,DESERT,40-50,RAINY,0.8,0.205826872,14,3,3,4
MUSTARD,DRY,SEMI ARID,13-20,RAINY,0.3,0.29051505,11,1,3,3
WHEAT,HUMID,SEMI HUMID,13-20,WINDY,6.88,0.332271727,8,3,2,2
ONION,DRY,HUMID,40-50,NORMAL,0.3,0.903069711,4,1,1,1
WHEAT,WET,DESERT,40-50,WINDY,10.4,0.57584281,8,2,2,4
COTTON,HUMID,SEMI HUMID,20-30,WINDY,6.6,0.302181915,5,3,2,2
BANANA,HUMID,SEMI ARID,30-40,WINDY,8.9,0.248960931,13,3,2,3
SUGARCANE,WET,DESERT,13-20,WINDY,7.2,0.779816405,10,2,2,4
SUGARCANE,WET,SEMI HUMID,40-50,NORMAL,7.05,0.412339807,10,2,1,2
COTTON,WET,HUMID,20-30,WINDY,4,0.163186968,5,2,2,1
MELON,HUMID,HUMID,30-40,WINDY,5.52,0.171267668,2,3,2,1
SOYABEAN,HUMID,SEMI ARID,30-40,SUNNY,8.1,0.133264782,3,3,4,3
SUGARCANE,DRY,DESERT,30-40,RAINY,4.4,0.913154592,10,1,3,4
BANANA,DRY,SEMI ARID,30-40,WINDY,10.8,0.020557855,13,1,2,3
MAIZE,DRY,SEMI HUMID,30-40,SUNNY,8.36,0.818497311,7,1,4,2
ONION,DRY,SEMI ARID,13-20,RAINY,0.2,0.257519089,4,1,3,3
MUSTARD,DRY,HUMID,40-50,RAINY,0.5,0.482586008,11,1,3,1
ONION,DRY,DESERT,13-20,NORMAL,4.25,0.324459423,4,1,1,4
CITRUS,DRY,SEMI ARID,30-40,NORMAL,7.1,0.983238133,6,1,1,3
ONION,HUMID,SEMI ARID,20-30,WINDY,5.375,0.201514255,4,3,2,3
WHEAT,DRY,HUMID,40-50,WINDY,10.7,0.192239928,8,1,2,1
SUGARCANE,WET,DESERT,20-30,RAINY,0.8,0.471377149,10,2,3,4
MAIZE,HUMID,SEMI HUMID,13-20,SUNNY,4.92,0.636740091,7,3,4,2
MAIZE,HUMID,SEMI ARID,20-30,NORMAL,5.14,0.430823066,7,3,1,3
CABBAGE,HUMID,SEMI HUMID,20-30,RAINY,0.2,0.083167056,14,3,3,2
MAIZE,WET,SEMI ARID,40-50,WINDY,7.06,0.056939801,7,2,2,3
WHEAT,DRY,HUMID,13-20,WINDY,7.9,0.264301524,8,1,2,1
COTTON,DRY,DESERT,20-30,NORMAL,9.85,0.598107842,5,1,1,4
CITRUS,WET,DESERT,20-30,WINDY,5.3,0.236053078,6,2,2,4
COTTON,HUMID,SEMI ARID,13-20,RAINY,0.1,0.757131344,5,3,3,3
WHEAT,WET,DESERT,13-20,RAINY,0.5,0.713936421,8,2,3,4
CITRUS,WET,SEMI HUMID,40-50,SUNNY,6.66,0.15129993,6,2,4,2
MUSTARD,HUMID,SEMI HUMID,30-40,NORMAL,5.42,0.674869655,11,3,1,2
SUGARCANE,WET,SEMI ARID,13-20,NORMAL,5.3,0.332862705,10,2,1,3
SOYABEAN,DRY,SEMI ARID,20-30,NORMAL,8.6,0.767038253,3,1,1,3
ONION,HUMID,SEMI HUMID,30-40,NORMAL,5.375,0.623460316,4,3,1,2
TOMATO,WET,DESERT,30-40,NORMAL,5.6,0.709266183,1,2,1,4
MAIZE,DRY,HUMID,20-30,SUNNY,6.46,0.774828891,7,1,4,1
COTTON,DRY,SEMI ARID,30-40,SUNNY,11.4,0.367821303,5,1,4,3
WHEAT,WET,SEMI HUMID,13-20,WINDY,5,0.56281309,8,2,2,2
ONION,DRY,HUMID,13-20,NORMAL,3.75,0.443458937,4,1,1,1
SOYABEAN,HUMID,SEMI HUMID,40-50,NORMAL,6.7,0.237213743,3,3,1,2
TOMATO,HUMID,DESERT,30-40,WINDY,7.68,0.737438703,1,3,2,4
CITRUS,WET,SEMI HUMID,30-40,NORMAL,4.16,0.546979785,6,2,1,2
ONION,HUMID,SEMI ARID,30-40,SUNNY,4.875,0.036852206,4,3,4,3
SOYABEAN,WET,HUMID,40-50,NORMAL,4.6,0.794417626,3,2,1,1
TOMATO,DRY,HUMID,13-20,RAINY,0.1,0.341376765,1,1,3,1
CABBAGE,DRY,DESERT,13-20,RAINY,0.2,0.303004841,14,1,3,4
MELON,DRY,HUMID,30-40,WINDY,6.96,0.278328585,2,1,2,1
CABBAGE,WET,SEMI ARID,40-50,RAINY,0.3,0.224816169,14,2,3,3
CABBAGE,WET,DESERT,13-20,RAINY,0.1,0.966555684,14,2,3,4
SUGARCANE,DRY,SEMI ARID,13-20,NORMAL,9.6,0.844419926,10,1,1,3
CITRUS,DRY,DESERT,40-50,SUNNY,10.1,0.193534993,6,1,4,4
POTATO,WET,SEMI HUMID,13-20,SUNNY,4.845,0.602210459,12,2,4,2
RICE,HUMID,DESERT,30-40,RAINY,7,0.09502835,9,3,3,4
ONION,WET,DESERT,30-40,WINDY,5.5,0.763098552,4,2,2,4
BEAN,DRY,SEMI ARID,30-40,RAINY,1.8,0.610926241,15,1,3,3
BANANA,DRY,SEMI ARID,13-20,SUNNY,9.4,0.686457713,13,1,4,3
BEAN,HUMID,HUMID,13-20,RAINY,0.1,0.813195392,15,3,3,1
MUSTARD,DRY,DESERT,13-20,RAINY,0.5,0.367585196,11,1,3,4
BEAN,HUMID,SEMI HUMID,20-30,RAINY,0.1,0.97016672,15,3,3,2
MUSTARD,DRY,HUMID,13-20,WINDY,4.96,0.294743317,11,1,2,1
POTATO,DRY,DESERT,13-20,NORMAL,8.5,0.615126262,12,1,1,4
BANANA,WET,DESERT,30-40,SUNNY,8.65,0.69535919,13,2,4,4
MAIZE,WET,SEMI HUMID,30-40,RAINY,0.2,0.093630189,7,2,3,2
COTTON,DRY,SEMI HUMID,30-40,NORMAL,8.95,0.990956054,5,1,1,2
COTTON,WET,SEMI HUMID,40-50,SUNNY,8.02,0.764693394,5,2,4,2
BEAN,WET,SEMI HUMID,40-50,WINDY,6.6,0.301501034,15,2,2,2
SUGARCANE,WET,SEMI ARID,13-20,SUNNY,6.8,0.174796859,10,2,4,3
CITRUS,HUMID,SEMI HUMID,30-40,NORMAL,5.1,0.120158135,6,3,1,2
RICE,WET,SEMI ARID,30-40,NORMAL,10.5,0.383960507,9,2,1,3
CITRUS,DRY,SEMI ARID,30-40,WINDY,8.1,0.995393931,6,1,2,3
CITRUS,WET,DESERT,13-20,SUNNY,4.8,0.876449259,6,2,4,4
POTATO,DRY,SEMI ARID,20-30,SUNNY,10.3,0.056736556,12,1,4,3
MELON,WET,HUMID,30-40,SUNNY,5,0.405006274,2,2,4,1
SOYABEAN,WET,SEMI ARID,20-30,RAINY,0.2,0.83227977,3,2,3,3
CITRUS,DRY,DESERT,20-30,WINDY,7.5,0.871923635,6,1,2,4
WHEAT,DRY,SEMI ARID,13-20,SUNNY,11,0.128458527,8,1,4,3
COTTON,WET,SEMI ARID,20-30,SUNNY,6.8,0.203407002,5,2,4,3
RICE,WET,SEMI HUMID,40-50,RAINY,1.5,0.931307494,9,2,3,2
MELON,DRY,SEMI ARID,40-50,SUNNY,10.08,0.129609167,2,1,4,3
POTATO,WET,SEMI HUMID,20-30,WINDY,5.4,0.200452163,12,2,2,2
SUGARCANE,WET,SEMI ARID,30-40,WINDY,8.35,0.172592068,10,2,2,3
WHEAT,WET,SEMI ARID,30-40,NORMAL,7.35,0.599656184,8,2,1,3
CABBAGE,DRY,DESERT,40-50,WINDY,9.6,0.869732407,14,1,2,4
MUSTARD,WET,SEMI ARID,13-20,SUNNY,4.56,0.514740044,11,2,4,3
CABBAGE,DRY,SEMI ARID,13-20,SUNNY,6.55,0.324198601,14,1,4,3
TOMATO,HUMID,SEMI ARID,20-30,SUNNY,6.64,0.926283426,1,3,4,3
SUGARCANE,WET,SEMI ARID,20-30,SUNNY,7.75,0.725644742,10,2,4,3
MAIZE,DRY,SEMI ARID,40-50,WINDY,9.58,0.689297958,7,1,2,3
SOYABEAN,WET,SEMI HUMID,13-20,SUNNY,4.1,0.030378142,3,2,4,2
SOYABEAN,HUMID,DESERT,40-50,WINDY,7.35,0.607644177,3,3,2,4
BANANA,WET,SEMI ARID,40-50,WINDY,8.2,0.110766502,13,2,2,3
BANANA,DRY,DESERT,30-40,NORMAL,10.75,0.330069315,13,1,1,4
WHEAT,WET,HUMID,30-40,SUNNY,5.98,0.057174856,8,2,4,1
CITRUS,HUMID,DESERT,40-50,RAINY,0.8,0.425653738,6,3,3,4
WHEAT,DRY,DESERT,13-20,NORMAL,10.54,0.632987649,8,1,1,4
CABBAGE,HUMID,SEMI HUMID,40-50,RAINY,0.5,0.743908111,14,3,3,2
RICE,WET,SEMI HUMID,20-30,WINDY,8.5,0.228583383,9,2,2,2
MAIZE,WET,DESERT,20-30,SUNNY,6.1,0.437863793,7,2,4,4
MAIZE,WET,DESERT,20-30,NORMAL,4.6,0.014468614,7,2,1,4
MUSTARD,WET,DESERT,30-40,WINDY,6.6,0.591308817,11,2,2,4
BEAN,DRY,SEMI ARID,30-40,NORMAL,9.8,0.654249034,15,1,1,3
CABBAGE,DRY,HUMID,30-40,WINDY,6.6,0.854512736,14,1,2,1
CABBAGE,HUMID,SEMI HUMID,13-20,NORMAL,3.1,0.803939514,14,3,1,2
ONION,WET,SEMI HUMID,20-30,RAINY,2.625,0.681589437,4,2,3,2
CABBAGE,WET,HUMID,13-20,RAINY,0.1,0.245351529,14,2,3,1
MAIZE,HUMID,SEMI HUMID,20-30,NORMAL,4.42,0.951391875,7,3,1,2
COTTON,HUMID,HUMID,13-20,RAINY,0.1,0.377313969,5,3,3,1
MAIZE,HUMID,SEMI ARID,40-50,NORMAL,7.14,0.230959406,7,3,1,3
COTTON,HUMID,HUMID,40-50,WINDY,6.2,0.082697516,5,3,2,1
POTATO,HUMID,SEMI HUMID,30-40,NORMAL,6.5,0.154279609,12,3,1,2
ONION,DRY,DESERT,40-50,NORMAL,7.25,0.970341332,4,1,1,4
CITRUS,WET,SEMI ARID,20-30,WINDY,4.83,0.883187835,6,2,2,3
CABBAGE,WET,SEMI HUMID,40-50,WINDY,6.16,0.614572252,14,2,2,2
MAIZE,HUMID,HUMID,20-30,NORMAL,3.52,0.718848051,7,3,1,1
MAIZE,HUMID,SEMI ARID,20-30,SUNNY,6.64,0.511590072,7,3,4,3
TOMATO,DRY,HUMID,20-30,NORMAL,4.96,0.744567372,1,1,1,1
CITRUS,HUMID,DESERT,20-30,WINDY,6.3,0.397574242,6,3,2,4
TOMATO,WET,DESERT,40-50,RAINY,0.5,0.389863612,1,2,3,4
MELON,DRY,SEMI HUMID,13-20,RAINY,0.2,0.731982774,2,1,3,2
WHEAT,HUMID,SEMI ARID,13-20,WINDY,8.15,0.432141261,8,3,2,3
MUSTARD,DRY,SEMI ARID,40-50,WINDY,9.58,0.922501821,11,1,2,3
RICE,HUMID,SEMI ARID,20-30,SUNNY,14,0.7262153,9,3,4,3
TOMATO,HUMID,DESERT,30-40,NORMAL,6.68,0.462538367,1,3,1,4
BANANA,HUMID,SEMI HUMID,13-20,NORMAL,4.89,0.628233096,13,3,1,2
MAIZE,DRY,HUMID,40-50,WINDY,7.96,0.401797173,7,1,2,1
SOYABEAN,WET,HUMID,40-50,RAINY,0.1,0.66853534,3,2,3,1
SOYABEAN,WET,HUMID,13-20,WINDY,2.6,0.941727424,3,2,2,1
TOMATO,HUMID,HUMID,40-50,NORMAL,5.52,0.483683753,1,3,1,1
MELON,HUMID,HUMID,13-20,WINDY,3.52,0.161276152,2,3,2,1
CABBAGE,WET,HUMID,30-40,NORMAL,3.33,0.305370481,14,2,1,1
SOYABEAN,DRY,SEMI HUMID,30-40,WINDY,8.6,0.249734756,3,1,2,2
BANANA,DRY,SEMI HUMID,40-50,NORMAL,9.9,0.970684652,13,1,1,2
ONION,WET,SEMI ARID,30-40,NORMAL,5.625,0.428575557,4,2,1,3
MAIZE,DRY,SEMI HUMID,20-30,WINDY,6.86,0.870834113,7,1,2,2
