ID,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_used,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage,Random Number,Season in number
F00080689,1296,Rabi,Black-Cotton,1,30,21,18,Monsoon,Minimal Damage,0.999666181,2
F00143250,2840,Kharif,Black-Cotton,2,10,57,0,Winter,Partial Damage,0.99965928,3
F00098298,1575,Rabi,Black-Cotton,2,20,42,0,Summer,Significant Damage,0.999658781,1
F00152653,3516,Rabi,Black-Cotton,2,35,52,0,Monsoon,Minimal Damage,0.999644934,2
F00030659,625,Rabi,Alluvial,1,30,29,1,Monsoon,Minimal Damage,0.999643767,2
F00047070,850,Rabi,Alluvial,1,20,40,4,Winter,Minimal Damage,0.999638644,3
F00003823,256,Rabi,Black-Cotton,1,25,14,9,Monsoon,Minimal Damage,0.999613273,2
F00014078,448,Kharif,Alluvial,2,30,30,0,Summer,Significant Damage,0.999603162,1
F00062127,984,Rabi,Alluvial,1,20,34,7,Monsoon,Minimal Damage,0.999601275,2
F00107554,1678,Rabi,Black-Cotton,1,10,20,25,Monsoon,Minimal Damage,0.999570581,2
F00034024,677,Rabi,Alluvial,1,5,10,21,Monsoon,Minimal Damage,0.999562625,2
F00122643,2016,Kharif,Black-Cotton,2,20,44,0,Monsoon,Minimal Damage,0.999551084,2
F00071775,1132,Rabi,Alluvial,1,10,30,10,Summer,Partial Damage,0.999513996,1
F00118460,1898,Rabi,Alluvial,2,5,51,0,Monsoon,Minimal Damage,0.999487308,2
F00085886,1297,Kharif,Alluvial,2,20,30,0,Summer,Partial Damage,0.999481605,1
F00053482,915,Kharif,Alluvial,2,15,23,0,Winter,Minimal Damage,0.999480894,3
F00062825,984,Rabi,Black-Cotton,1,30,36,5,Winter,Minimal Damage,0.999479095,3
F00027123,577,Rabi,Alluvial,2,30,33,0,Monsoon,Minimal Damage,0.999470071,2
F00041870,732,Rabi,Alluvial,1,20,19,12,Monsoon,Minimal Damage,0.999430167,2
F00102423,1576,Rabi,Alluvial,2,25,43,0,Winter,Minimal Damage,0.99941983,3
F00128491,2267,Rabi,Alluvial,1,45,14,37,Monsoon,Minimal Damage,0.999399123,2
F00153967,3702,Rabi,Black-Cotton,1,40,24,26,Monsoon,Partial Damage,0.999394066,2
F00112950,1786,Rabi,Alluvial,2,20,45,0,Summer,Minimal Damage,0.999388978,1
F00027846,577,Rabi,Black-Cotton,1,40,24,19,Winter,Minimal Damage,0.999387124,3
F00036867,677,Rabi,Alluvial,2,30,42,0,Summer,Minimal Damage,0.999351504,1
F00088843,1385,Rabi,Black-Cotton,1,10,15,21,Monsoon,Minimal Damage,0.999310545,2
F00017248,488,Kharif,Alluvial,1,5,29,1,Monsoon,Minimal Damage,0.999301599,2
F00129891,2267,Rabi,Alluvial,1,25,35,19,Winter,Minimal Damage,0.999263136,3
F00150791,3336,Rabi,Black-Cotton,1,15,25,20,Monsoon,Minimal Damage,0.999256693,2
F00029046,625,Kharif,Alluvial,2,25,33,0,Winter,Minimal Damage,0.999253844,3
F00121095,2016,Rabi,Black-Cotton,2,15,53,0,Winter,Partial Damage,0.999224074,3
F00107471,1678,Rabi,Alluvial,2,5,43,0,Winter,Minimal Damage,0.999220844,3
F00054024,915,Rabi,Black-Cotton,2,20,35,0,Summer,Partial Damage,0.999213576,1
F00146644,2999,Kharif,Alluvial,3,0,0,0,Summer,Partial Damage,0.999197574,1
F00136725,2541,Rabi,Alluvial,1,20,44,13,Summer,Minimal Damage,0.999196906,1
F00103738,1678,Rabi,Black-Cotton,1,40,23,14,Summer,Minimal Damage,0.999184941,1
F00073549,1132,Kharif,Alluvial,1,10,15,25,Summer,Minimal Damage,0.999179509,1
F00089336,1385,Rabi,Alluvial,1,30,15,26,Summer,Minimal Damage,0.999177179,1
F00069795,1132,Rabi,Black-Cotton,1,25,25,12,Monsoon,Minimal Damage,0.999175131,2
F00020789,531,Kharif,Alluvial,2,5,7,0,Monsoon,Minimal Damage,0.999153736,2
F00092243,1478,Rabi,Black-Cotton,1,20,21,17,Summer,Minimal Damage,0.999141549,1
F00000203,150,Rabi,Alluvial,1,10,10,5,Summer,Minimal Damage,0.99912879,1
F00019918,489,Rabi,Alluvial,2,30,31,0,Monsoon,Minimal Damage,0.999127688,2
F00076130,1212,Rabi,Black-Cotton,1,30,32,6,Monsoon,Minimal Damage,0.999073633,2
F00042037,789,Rabi,Alluvial,2,40,44,0,Winter,Minimal Damage,0.999006263,3
F00122676,2016,Rabi,Black-Cotton,1,20,21,22,Winter,Minimal Damage,0.998993277,3
F00012806,411,Rabi,Black-Cotton,1,15,23,3,Summer,Minimal Damage,0.998987966,1
F00075564,1212,Rabi,Black-Cotton,1,50,27,13,Summer,Minimal Damage,0.998985997,1
F00145188,2840,Rabi,Alluvial,1,20,25,15,Winter,Minimal Damage,0.998977953,3
F00103372,1678,Rabi,Black-Cotton,1,10,12,34,Winter,Minimal Damage,0.998927645,3
F00064170,1056,Rabi,Alluvial,1,30,22,15,Winter,Minimal Damage,0.998926798,3
F00126483,2139,Rabi,Black-Cotton,1,50,40,11,Monsoon,Minimal Damage,0.998920515,2
F00149874,3165,Rabi,Black-Cotton,2,40,60,0,Monsoon,Minimal Damage,0.998915894,2
F00003516,232,Rabi,Alluvial,1,15,21,3,Monsoon,Minimal Damage,0.998902429,2
F00150507,3336,Rabi,Alluvial,1,10,46,14,Monsoon,Minimal Damage,0.998892715,2
F00155324,4096,Rabi,Black-Cotton,3,0,0,0,Winter,Partial Damage,0.998884916,3
F00065103,1056,Rabi,Alluvial,1,10,12,26,Monsoon,Minimal Damage,0.998871207,2
F00006119,311,Kharif,Black-Cotton,2,50,29,0,Monsoon,Minimal Damage,0.99884711,2
F00154057,3702,Rabi,Alluvial,3,0,0,0,Winter,Significant Damage,0.998843682,3
F00040692,732,Kharif,Alluvial,1,20,16,15,Summer,Minimal Damage,0.998838378,1
F00048435,851,Rabi,Black-Cotton,1,55,24,13,Summer,Minimal Damage,0.998832568,1
F00118480,1898,Kharif,Alluvial,2,30,52,0,Monsoon,Minimal Damage,0.998804201,2
F00058567,984,Kharif,Black-Cotton,2,40,13,0,Winter,Minimal Damage,0.998799779,3
F00078755,1212,Rabi,Alluvial,1,30,36,4,Summer,Minimal Damage,0.998798902,1
F00065594,1056,Rabi,Alluvial,1,30,15,22,Monsoon,Minimal Damage,0.998797697,2
F00001591,188,Rabi,Alluvial,1,30,14,7,Summer,Minimal Damage,0.998785046,1
F00025832,577,Rabi,Alluvial,1,20,20,4,Monsoon,Minimal Damage,0.998782968,2
F00015663,448,Kharif,Black-Cotton,2,20,29,0,Monsoon,Partial Damage,0.998771074,2
F00099436,1575,Rabi,Alluvial,1,30,30,16,Monsoon,Minimal Damage,0.998769306,2
F00058212,984,Rabi,Alluvial,2,80,47,0,Winter,Minimal Damage,0.998759242,3
F00033414,677,Rabi,Black-Cotton,1,60,22,7,Monsoon,Minimal Damage,0.998742075,2
F00119386,2015,Rabi,Alluvial,1,20,38,12,Winter,Minimal Damage,0.998730775,3
F00127047,2139,Rabi,Black-Cotton,1,25,33,19,Monsoon,Minimal Damage,0.998727006,2
F00131512,2267,Rabi,Black-Cotton,1,5,14,37,Summer,Minimal Damage,0.998712563,1
F00109822,1785,Rabi,Alluvial,1,15,12,35,Monsoon,Partial Damage,0.998666179,2
F00142442,2688,Rabi,Black-Cotton,1,40,14,26,Monsoon,Minimal Damage,0.998654288,2
F00022694,531,Rabi,Alluvial,2,20,27,0,Winter,Minimal Damage,0.998640915,3
F00068806,1132,Rabi,Alluvial,1,30,43,3,Monsoon,Minimal Damage,0.998638885,2
F00142426,2688,Rabi,Black-Cotton,1,15,12,42,Monsoon,Minimal Damage,0.998614069,2
F00046302,790,Kharif,Alluvial,1,5,15,18,Summer,Minimal Damage,0.998600994,1
F00136798,2541,Kharif,Alluvial,1,10,27,16,Summer,Minimal Damage,0.998591652,1
F00138704,2542,Kharif,Alluvial,2,20,41,0,Monsoon,Minimal Damage,0.998590535,2
F00090357,1385,Rabi,Alluvial,1,15,19,26,Monsoon,Minimal Damage,0.998584246,2
F00132870,2401,Kharif,Alluvial,2,20,58,0,Winter,Partial Damage,0.998583507,3
F00065666,1056,Rabi,Black-Cotton,1,30,31,8,Monsoon,Partial Damage,0.998573236,2
F00144750,2840,Kharif,Alluvial,1,15,8,28,Winter,Minimal Damage,0.998558383,3
F00137014,2541,Rabi,Black-Cotton,1,40,24,22,Summer,Partial Damage,0.998555053,1
F00124028,2138,Rabi,Alluvial,2,10,23,0,Monsoon,Minimal Damage,0.998550913,2
F00078921,1212,Kharif,Alluvial,2,25,30,0,Monsoon,Minimal Damage,0.998550424,2
F00009149,375,Rabi,Black-Cotton,1,40,25,2,Monsoon,Minimal Damage,0.998545062,2
F00043919,789,Rabi,Alluvial,1,15,20,18,Winter,Minimal Damage,0.998513009,3
F00012601,411,Rabi,Alluvial,1,10,28,5,Summer,Minimal Damage,0.998498515,1
F00105981,1678,Rabi,Black-Cotton,1,10,30,4,Summer,Minimal Damage,0.998463534,1
F00031571,626,Rabi,Alluvial,1,20,13,17,Summer,Minimal Damage,0.998443189,1
F00139408,2542,Kharif,Black-Cotton,2,20,48,0,Monsoon,Minimal Damage,0.998441386,2
F00032570,677,Kharif,Black-Cotton,2,30,18,0,Winter,Minimal Damage,0.998434126,3
F00036506,677,Kharif,Alluvial,2,20,35,0,Summer,Partial Damage,0.998429501,1
F00057479,984,Rabi,Black-Cotton,1,20,25,17,Monsoon,Minimal Damage,0.998414716,2
F00096712,1478,Rabi,Black-Cotton,1,10,10,32,Monsoon,Minimal Damage,0.998411558,2
F00041579,732,Rabi,Alluvial,1,40,40,0,Summer,Minimal Damage,0.998405081,1
F00006185,311,Rabi,Black-Cotton,1,30,18,4,Winter,Minimal Damage,0.998393376,3
F00029184,625,Kharif,Alluvial,1,20,8,16,Monsoon,Minimal Damage,0.998378727,2
F00125918,2138,Rabi,Alluvial,1,20,46,14,Monsoon,Minimal Damage,0.998368464,2
F00053026,915,Kharif,Alluvial,2,25,23,0,Summer,Minimal Damage,0.998367133,1
F00091956,1385,Kharif,Alluvial,1,45,31,11,Monsoon,Minimal Damage,0.998359465,2
F00094922,1478,Rabi,Black-Cotton,1,20,42,5,Monsoon,Minimal Damage,0.998349032,2
F00086218,1385,Kharif,Black-Cotton,2,20,25,0,Summer,Minimal Damage,0.998338701,1
F00096320,1478,Rabi,Alluvial,2,20,50,0,Winter,Significant Damage,0.998308401,3
F00026956,577,Kharif,Alluvial,1,10,31,5,Winter,Minimal Damage,0.998297119,3
F00112575,1786,Rabi,Black-Cotton,1,35,12,29,Winter,Partial Damage,0.998290839,3
F00140608,2688,Rabi,Black-Cotton,1,30,30,11,Monsoon,Minimal Damage,0.998282638,2
F00079424,1212,Kharif,Alluvial,1,30,16,3,Summer,Minimal Damage,0.998270365,1
F00145961,2999,Kharif,Alluvial,1,40,37,10,Winter,Partial Damage,0.998246106,3
F00150173,3165,Rabi,Alluvial,1,40,44,16,Monsoon,Minimal Damage,0.998196569,2
F00036878,677,Rabi,Alluvial,2,20,35,0,Monsoon,Partial Damage,0.998195987,2
F00077574,1212,Rabi,Black-Cotton,1,60,20,27,Monsoon,Minimal Damage,0.998180711,2
F00045492,790,Rabi,Alluvial,1,20,32,8,Summer,Minimal Damage,0.998175531,1
F00104731,1678,Rabi,Alluvial,1,20,34,14,Monsoon,Minimal Damage,0.99817367,2
F00015051,448,Rabi,Black-Cotton,2,50,26,0,Winter,Minimal Damage,0.998159655,3
F00007285,342,Kharif,Alluvial,1,60,25,1,Monsoon,Minimal Damage,0.998159229,2
F00155325,4096,Rabi,Alluvial,2,10,66,0,Summer,Minimal Damage,0.998140848,1
F00110566,1785,Rabi,Black-Cotton,1,20,36,12,Monsoon,Minimal Damage,0.99808642,2
F00079765,1212,Rabi,Black-Cotton,1,45,39,2,Summer,Minimal Damage,0.99807841,1
F00122604,2016,Rabi,Black-Cotton,1,20,42,9,Monsoon,Minimal Damage,0.998068911,2
F00028819,625,Rabi,Black-Cotton,1,50,28,15,Winter,Minimal Damage,0.998063142,3
F00084288,1297,Kharif,Alluvial,2,10,40,0,Winter,Minimal Damage,0.998050927,3
F00135925,2402,Rabi,Alluvial,1,10,53,0,Winter,Minimal Damage,0.998049392,3
F00062288,984,Rabi,Black-Cotton,2,30,31,0,Winter,Minimal Damage,0.99804591,3
F00105376,1678,Rabi,Black-Cotton,1,20,30,18,Monsoon,Minimal Damage,0.998039367,2
F00055302,915,Rabi,Black-Cotton,2,60,30,0,Winter,Minimal Damage,0.998033006,3
F00077684,1212,Kharif,Black-Cotton,2,5,18,0,Monsoon,Minimal Damage,0.998031018,2
F00106256,1678,Rabi,Black-Cotton,1,5,21,19,Monsoon,Minimal Damage,0.998026337,2
F00001660,188,Kharif,Alluvial,2,15,21,0,Monsoon,Minimal Damage,0.998012277,2
F00105544,1678,Rabi,Black-Cotton,1,20,8,34,Winter,Minimal Damage,0.997990531,3
F00070726,1132,Rabi,Alluvial,2,25,40,0,Summer,Partial Damage,0.997977411,1
F00028845,625,Kharif,Alluvial,1,20,9,20,Monsoon,Minimal Damage,0.997969951,2
F00084853,1297,Rabi,Black-Cotton,1,30,36,3,Winter,Minimal Damage,0.997964753,3
F00123582,2138,Rabi,Alluvial,1,10,15,32,Monsoon,Partial Damage,0.997962067,2
F00136875,2541,Rabi,Alluvial,1,10,12,35,Monsoon,Minimal Damage,0.997956964,2
F00135120,2402,Kharif,Alluvial,1,10,48,4,Summer,Minimal Damage,0.997925627,1
F00149333,3164,Rabi,Black-Cotton,1,10,44,15,Monsoon,Minimal Damage,0.997925068,2
F00035877,677,Rabi,Black-Cotton,1,5,20,12,Monsoon,Minimal Damage,0.997900451,2
F00076157,1212,Rabi,Black-Cotton,1,50,42,7,Monsoon,Minimal Damage,0.997894796,2
F00144942,2840,Kharif,Alluvial,2,20,37,0,Monsoon,Partial Damage,0.997886941,2
F00001395,188,Rabi,Alluvial,2,10,18,0,Monsoon,Minimal Damage,0.997870778,2
F00141093,2688,Rabi,Alluvial,1,60,40,15,Monsoon,Significant Damage,0.997869189,2
F00005146,283,Rabi,Alluvial,1,60,18,3,Monsoon,Minimal Damage,0.997857133,2
F00106494,1678,Kharif,Alluvial,2,10,51,0,Monsoon,Minimal Damage,0.99784888,2
F00094730,1478,Rabi,Black-Cotton,1,30,15,17,Monsoon,Minimal Damage,0.997811806,2
F00048819,851,Rabi,Alluvial,2,40,24,0,Summer,Minimal Damage,0.997791709,1
F00152863,3516,Rabi,Alluvial,1,10,26,28,Summer,Partial Damage,0.997779511,1
F00025405,577,Rabi,Alluvial,1,30,22,13,Summer,Minimal Damage,0.99777884,1
F00083968,1296,Rabi,Alluvial,1,30,30,13,Summer,Minimal Damage,0.997748912,1
F00056107,916,Kharif,Alluvial,2,30,18,0,Summer,Minimal Damage,0.997734947,1
F00070241,1132,Rabi,Alluvial,1,10,36,8,Summer,Minimal Damage,0.99768933,1
F00151296,3337,Rabi,Black-Cotton,1,5,40,20,Monsoon,Minimal Damage,0.997683693,2
F00121413,2016,Rabi,Black-Cotton,1,40,24,19,Winter,Minimal Damage,0.997663952,3
F00048075,851,Kharif,Alluvial,1,5,25,4,Monsoon,Minimal Damage,0.997653647,2
F00071364,1132,Kharif,Alluvial,1,5,35,4,Summer,Minimal Damage,0.997652886,1
F00121665,2016,Rabi,Black-Cotton,2,30,49,0,Summer,Minimal Damage,0.99762687,1
F00039439,731,Rabi,Black-Cotton,2,40,28,0,Winter,Minimal Damage,0.99761382,3
F00055167,915,Rabi,Alluvial,1,40,28,7,Summer,Partial Damage,0.997605174,1
F00122538,2016,Rabi,Black-Cotton,2,10,47,0,Winter,Minimal Damage,0.997590222,3
F00056194,916,Rabi,Black-Cotton,1,15,17,25,Monsoon,Minimal Damage,0.997577957,2
F00039014,731,Kharif,Alluvial,1,15,20,8,Monsoon,Minimal Damage,0.9975571,2
F00135573,2402,Kharif,Alluvial,2,30,38,0,Summer,Minimal Damage,0.997556228,1
F00066680,1056,Rabi,Alluvial,2,10,40,0,Winter,Partial Damage,0.997542426,3
F00025309,577,Rabi,Black-Cotton,1,50,23,10,Summer,Minimal Damage,0.997540552,1
F00151441,3337,Rabi,Black-Cotton,1,10,32,24,Summer,Minimal Damage,0.997505788,1
F00036268,677,Rabi,Alluvial,1,60,19,16,Monsoon,Minimal Damage,0.997496626,2
F00005363,283,Kharif,Alluvial,1,20,14,2,Summer,Minimal Damage,0.997461337,1
F00052698,915,Rabi,Alluvial,1,40,35,2,Winter,Minimal Damage,0.99744594,3
F00079338,1212,Rabi,Black-Cotton,1,20,24,15,Monsoon,Minimal Damage,0.997432984,2
F00143183,2840,Rabi,Alluvial,1,40,33,15,Winter,Minimal Damage,0.997431335,3
F00121470,2016,Rabi,Black-Cotton,1,40,38,11,Monsoon,Minimal Damage,0.99743046,2
F00140573,2688,Kharif,Black-Cotton,2,20,40,0,Summer,Minimal Damage,0.997427128,1
F00014476,448,Rabi,Alluvial,1,30,24,5,Summer,Minimal Damage,0.997426317,1
F00022279,531,Rabi,Alluvial,1,30,32,1,Monsoon,Minimal Damage,0.997424225,2
F00079589,1212,Kharif,Alluvial,1,20,25,8,Summer,Minimal Damage,0.997413052,1
F00052304,915,Kharif,Black-Cotton,2,20,34,0,Monsoon,Significant Damage,0.997400601,2
F00127671,2139,Rabi,Black-Cotton,1,5,26,14,Winter,Minimal Damage,0.997395174,3
F00077772,1212,Rabi,Black-Cotton,1,25,13,26,Monsoon,Minimal Damage,0.997384339,2
F00099435,1575,Rabi,Alluvial,1,20,33,20,Monsoon,Minimal Damage,0.99738295,2
F00086194,1385,Rabi,Black-Cotton,2,10,30,0,Monsoon,Minimal Damage,0.997377771,2
F00033303,677,Rabi,Black-Cotton,2,5,27,0,Summer,Minimal Damage,0.997348826,1
F00087049,1385,Rabi,Black-Cotton,1,60,40,8,Summer,Minimal Damage,0.99733558,1
F00046723,790,Rabi,Alluvial,1,30,20,0,Monsoon,Minimal Damage,0.997335296,2
F00081984,1296,Rabi,Alluvial,2,30,17,0,Monsoon,Minimal Damage,0.997330064,2
F00092316,1478,Kharif,Alluvial,2,20,17,0,Summer,Minimal Damage,0.997317671,1
F00138325,2542,Rabi,Alluvial,1,20,31,24,Summer,Minimal Damage,0.997260581,1
F00058767,984,Rabi,Black-Cotton,1,15,33,5,Summer,Minimal Damage,0.997202403,1
F00006064,311,Rabi,Black-Cotton,1,30,22,0,Monsoon,Minimal Damage,0.997191082,2
F00087186,1385,Rabi,Black-Cotton,1,30,17,23,Summer,Minimal Damage,0.997187158,1
F00077568,1212,Rabi,Alluvial,1,40,50,0,Monsoon,Minimal Damage,0.997166104,2
F00029890,625,Rabi,Black-Cotton,1,5,10,19,Monsoon,Minimal Damage,0.997155544,2
F00057471,984,Rabi,Black-Cotton,1,15,40,1,Monsoon,Minimal Damage,0.997149008,2
F00149600,3164,Rabi,Black-Cotton,2,25,52,0,Winter,Minimal Damage,0.997141367,3
F00109681,1785,Kharif,Black-Cotton,2,20,50,0,Monsoon,Significant Damage,0.997131191,2
F00047608,850,Rabi,Alluvial,1,20,24,12,Summer,Minimal Damage,0.997117026,1
F00089744,1385,Rabi,Alluvial,1,20,39,5,Monsoon,Partial Damage,0.997084629,2
F00044330,789,Rabi,Black-Cotton,1,60,28,6,Summer,Minimal Damage,0.997074485,1
F00111765,1785,Rabi,Alluvial,2,30,41,0,Monsoon,Partial Damage,0.997073854,2
F00147055,2999,Kharif,Alluvial,1,60,6,23,Monsoon,Minimal Damage,0.997071743,2
F00139311,2542,Kharif,Alluvial,2,30,36,0,Summer,Minimal Damage,0.997067573,1
F00017136,488,Rabi,Black-Cotton,2,25,29,0,Monsoon,Minimal Damage,0.997046402,2
F00030356,625,Rabi,Black-Cotton,1,60,25,5,Summer,Minimal Damage,0.997040197,1
F00085707,1297,Rabi,Alluvial,1,15,17,24,Winter,Minimal Damage,0.997033388,3
F00152538,3516,Rabi,Alluvial,1,5,46,10,Winter,Partial Damage,0.997021322,3
F00026058,577,Rabi,Alluvial,2,30,34,0,Winter,Minimal Damage,0.996989901,3
F00065295,1056,Rabi,Alluvial,1,30,37,5,Monsoon,Partial Damage,0.996968675,2
F00034071,677,Rabi,Black-Cotton,1,35,34,0,Winter,Minimal Damage,0.996952385,3
F00046276,790,Kharif,Alluvial,1,20,26,3,Winter,Minimal Damage,0.996944805,3
F00152979,3516,Rabi,Black-Cotton,1,20,47,12,Summer,Significant Damage,0.996935597,1
F00086429,1385,Rabi,Alluvial,1,25,44,1,Summer,Minimal Damage,0.996935204,1
F00087261,1385,Rabi,Alluvial,2,15,25,0,Monsoon,Partial Damage,0.996927566,2
F00082819,1296,Kharif,Alluvial,1,20,20,15,Monsoon,Minimal Damage,0.996895168,2
F00097521,1478,Kharif,Black-Cotton,2,20,23,0,Monsoon,Minimal Damage,0.996882277,2
F00138978,2542,Rabi,Black-Cotton,1,5,13,36,Monsoon,Minimal Damage,0.996879518,2
F00101190,1576,Rabi,Alluvial,1,40,35,13,Monsoon,Minimal Damage,0.996878358,2
F00014222,448,Kharif,Alluvial,1,20,20,3,Summer,Minimal Damage,0.996876079,1
F00099351,1575,Rabi,Black-Cotton,1,20,20,25,Winter,Minimal Damage,0.996875816,3
F00097211,1478,Rabi,Alluvial,1,30,13,18,Summer,Minimal Damage,0.996859049,1
F00154857,3895,Rabi,Alluvial,1,40,35,9,Winter,Partial Damage,0.996853302,3
F00078386,1212,Rabi,Alluvial,1,50,35,11,Summer,Minimal Damage,0.996829734,1
F00000263,150,Kharif,Alluvial,2,30,15,0,Monsoon,Minimal Damage,0.996799309,2
F00019923,489,Rabi,Alluvial,1,30,31,0,Summer,Minimal Damage,0.996796319,1
F00114665,1898,Rabi,Alluvial,1,20,39,11,Winter,Partial Damage,0.996794139,3
F00139797,2542,Kharif,Alluvial,1,20,18,26,Summer,Minimal Damage,0.996776671,1
F00127360,2139,Rabi,Black-Cotton,1,20,42,11,Monsoon,Minimal Damage,0.996771046,2
F00029385,625,Rabi,Alluvial,1,40,31,5,Winter,Minimal Damage,0.996763052,3
F00150158,3165,Rabi,Black-Cotton,1,10,14,39,Summer,Minimal Damage,0.996750273,1
F00037491,731,Rabi,Black-Cotton,1,15,8,19,Summer,Minimal Damage,0.996747407,1
F00075669,1212,Kharif,Black-Cotton,2,30,39,0,Monsoon,Partial Damage,0.996745847,2
F00042772,789,Rabi,Black-Cotton,2,60,41,0,Monsoon,Minimal Damage,0.996728548,2
F00085585,1297,Rabi,Black-Cotton,1,50,31,17,Monsoon,Minimal Damage,0.996721848,2
F00044339,789,Kharif,Alluvial,1,15,36,0,Winter,Minimal Damage,0.996720388,3
F00150163,3165,Rabi,Black-Cotton,1,20,17,23,Monsoon,Partial Damage,0.996668987,2
F00043249,789,Kharif,Alluvial,2,15,23,0,Winter,Minimal Damage,0.996631681,3
F00089329,1385,Rabi,Alluvial,1,25,41,5,Summer,Minimal Damage,0.996626854,1
F00022540,531,Rabi,Black-Cotton,1,25,23,10,Winter,Minimal Damage,0.996623834,3
F00147820,2999,Rabi,Black-Cotton,2,5,55,0,Summer,Partial Damage,0.996623808,1
F00076648,1212,Rabi,Black-Cotton,1,80,38,7,Monsoon,Minimal Damage,0.996612131,2
F00130052,2267,Rabi,Black-Cotton,1,30,10,38,Summer,Minimal Damage,0.996609961,1
F00075207,1212,Rabi,Alluvial,1,20,18,19,Summer,Minimal Damage,0.996603543,1
F00130622,2267,Rabi,Alluvial,1,15,19,36,Summer,Minimal Damage,0.996601371,1
F00037020,677,Rabi,Black-Cotton,2,20,31,0,Monsoon,Significant Damage,0.996595182,2
F00003455,232,Kharif,Alluvial,2,40,25,0,Monsoon,Minimal Damage,0.996587394,2
F00012556,411,Rabi,Black-Cotton,1,30,17,3,Monsoon,Minimal Damage,0.996586938,2
F00129786,2267,Rabi,Alluvial,1,20,11,34,Monsoon,Minimal Damage,0.996586472,2
F00104376,1678,Rabi,Black-Cotton,1,10,24,21,Monsoon,Minimal Damage,0.996583386,2
F00002480,209,Kharif,Black-Cotton,3,0,0,0,Monsoon,Partial Damage,0.996561905,2
F00099772,1576,Kharif,Alluvial,2,20,30,0,Monsoon,Significant Damage,0.996556986,2
F00097319,1478,Rabi,Alluvial,2,40,41,0,Summer,Minimal Damage,0.996552751,1
F00006882,312,Rabi,Black-Cotton,2,10,17,0,Summer,Minimal Damage,0.996540221,1
F00066022,1056,Kharif,Alluvial,1,20,26,11,Winter,Minimal Damage,0.996514865,3
F00041478,732,Rabi,Black-Cotton,1,30,31,0,Monsoon,Minimal Damage,0.996492159,2
F00064467,1056,Kharif,Alluvial,2,15,38,0,Winter,Minimal Damage,0.996471276,3
F00038753,731,Rabi,Black-Cotton,1,15,6,14,Monsoon,Minimal Damage,0.996470132,2
