Id,Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield,Item in number
84,Albania,Potatoes,2010,1485,1311.17,16.52,231111,4
85,Albania,Soybeans,2010,1485,1311.17,16.52,16667,7
86,Albania,Wheat,2010,1485,1311.17,16.52,39905,9
87,Albania,Maize,2011,1485,1302.63,16.45,59869,2
88,Albania,Potatoes,2011,1485,1302.63,16.45,242211,4
89,Albania,Soybeans,2011,1485,1302.63,16.45,18519,7
90,Albania,Wheat,2011,1485,1302.63,16.45,42301,9
91,Albania,Maize,2012,1485,766.25,16.7,67290,2
92,Albania,Potatoes,2012,1485,766.25,16.7,250538,4
93,Albania,Soybeans,2012,1485,766.25,16.7,13333,7
94,Albania,Wheat,2012,1485,766.25,16.7,41096,9
95,Albania,Maize,2013,1485,982.32,17.41,69533,2
96,Albania,Potatoes,2013,1485,982.32,17.41,260110,4
97,Albania,Soybeans,2013,1485,982.32,17.41,10000,7
98,Albania,Wheat,2013,1485,982.32,17.41,41292,9
99,Algeria,Maize,1990,89,1828.92,17.48,16500,2
100,Algeria,Potatoes,1990,89,1828.92,17.48,78936,4
101,Algeria,"Rice, paddy",1990,89,1828.92,17.48,28000,5
102,Algeria,Sorghum,1990,89,1828.92,17.48,16571,6
103,Algeria,Wheat,1990,89,1828.92,17.48,6315,9
104,Algeria,Maize,1991,89,2461.8,16.26,19231,2
105,Algeria,Potatoes,1991,89,2461.8,16.26,90747,4
106,Algeria,"Rice, paddy",1991,89,2461.8,16.26,26786,5
107,Algeria,Sorghum,1991,89,2461.8,16.26,24231,6
108,Algeria,Wheat,1991,89,2461.8,16.26,10809,9
109,Algeria,Maize,1992,89,1215.47,16.27,22828,2
110,Algeria,Potatoes,1992,89,1215.47,16.27,107917,4
111,Algeria,"Rice, paddy",1992,89,1215.47,16.27,24733,5
112,Algeria,Sorghum,1992,89,1215.47,16.27,40000,6
113,Algeria,Wheat,1992,89,1215.47,16.27,9939,9
114,Algeria,Maize,1993,89,1021.89,17,12500,2
115,Algeria,Potatoes,1993,89,1021.89,17,111215,4
116,Algeria,"Rice, paddy",1993,89,1021.89,17,23111,5
117,Algeria,Sorghum,1993,89,1021.89,17,50000,6
118,Algeria,Wheat,1993,89,1021.89,17,8097,9
119,Algeria,Maize,1994,89,1255.02,17.88,4512,2
120,Algeria,Potatoes,1994,89,1255.02,17.88,95078,4
121,Algeria,"Rice, paddy",1994,89,1255.02,17.88,21374,5
122,Algeria,Wheat,1994,89,1255.02,17.88,7999,9
123,Algeria,Maize,1995,89,2697.09,17.36,16115,2
124,Algeria,Potatoes,1995,89,2697.09,17.36,136768,4
125,Algeria,"Rice, paddy",1995,89,2697.09,17.36,19598,5
126,Algeria,Sorghum,1995,89,2697.09,17.36,12667,6
127,Algeria,Wheat,1995,89,2697.09,17.36,8924,9
128,Algeria,Maize,1996,89,479.77,16.76,17154,2
129,Algeria,Potatoes,1996,89,479.77,16.76,134629,4
130,Algeria,"Rice, paddy",1996,89,479.77,16.76,17861,5
131,Algeria,Sorghum,1996,89,479.77,16.76,14750,6
132,Algeria,Wheat,1996,89,479.77,16.76,13090,9
133,Algeria,Maize,1997,89,401.22,17.84,21417,2
134,Algeria,Potatoes,1997,89,401.22,17.84,141042,4
135,Algeria,"Rice, paddy",1997,89,401.22,17.84,15000,5
136,Algeria,Sorghum,1997,89,401.22,17.84,40000,6
137,Algeria,Wheat,1997,89,401.22,17.84,8016,9
138,Algeria,Maize,1998,89,322.84,17.14,17222,2
139,Algeria,Potatoes,1998,89,322.84,17.14,160256,4
140,Algeria,"Rice, paddy",1998,89,322.84,17.14,15000,5
141,Algeria,Sorghum,1998,89,322.84,17.14,24500,6
142,Algeria,Wheat,1998,89,322.84,17.14,8847,9
143,Algeria,Maize,1999,89,654.45,17.97,22375,2
144,Algeria,Potatoes,1999,89,654.45,17.97,153532,4
145,Algeria,"Rice, paddy",1999,89,654.45,17.97,13942,5
146,Algeria,Sorghum,1999,89,654.45,17.97,27000,6
147,Algeria,Wheat,1999,89,654.45,17.97,10711,9
148,Algeria,Maize,2000,89,603.67,17.9,36186,2
149,Algeria,Potatoes,2000,89,603.67,17.9,166143,4
150,Algeria,"Rice, paddy",2000,89,603.67,17.9,13052,5
151,Algeria,Sorghum,2000,89,603.67,17.9,69500,6
152,Algeria,Wheat,2000,89,603.67,17.9,9194,9
153,Algeria,Maize,2001,89,710.11,18.13,27175,2
154,Algeria,Potatoes,2001,89,710.11,18.13,147018,4
155,Algeria,"Rice, paddy",2001,89,710.11,18.13,12314,5
156,Algeria,Sorghum,2001,89,710.11,18.13,27750,6
157,Algeria,Wheat,2001,89,710.11,18.13,11104,9
158,Algeria,Maize,2002,89,816.55,17.85,33480,2
159,Algeria,Potatoes,2002,89,816.55,17.85,183774,4
160,Algeria,"Rice, paddy",2002,89,816.55,17.85,12959,5
161,Algeria,Sorghum,2002,89,816.55,17.85,33900,6
162,Algeria,Wheat,2002,89,816.55,17.85,10739,9
163,Algeria,Maize,2004,89,3747.86,17.38,31729,2
164,Algeria,Potatoes,2004,89,3747.86,17.38,203585,4
165,Algeria,"Rice, paddy",2004,89,3747.86,17.38,12829,5
166,Algeria,Sorghum,2004,89,3747.86,17.38,43316,6
167,Algeria,Wheat,2004,89,3747.86,17.38,13582,9
168,Algeria,Maize,2005,89,3662.87,17.19,33864,2
169,Algeria,Potatoes,2005,89,3662.87,17.19,216267,4
170,Algeria,"Rice, paddy",2005,89,3662.87,17.19,12998,5
171,Algeria,Sorghum,2005,89,3662.87,17.19,33486,6
172,Algeria,Wheat,2005,89,3662.87,17.19,15057,9
173,Algeria,Maize,2006,89,4110.72,18.13,65668,2
174,Algeria,Potatoes,2006,89,4110.72,18.13,220689,4
175,Algeria,"Rice, paddy",2006,89,4110.72,18.13,12769,5
176,Algeria,Sorghum,2006,89,4110.72,18.13,56728,6
177,Algeria,Wheat,2006,89,4110.72,18.13,15068,9
178,Algeria,Maize,2007,89,5390.79,17.42,85625,2
179,Algeria,Potatoes,2007,89,5390.79,17.42,189927,4
180,Algeria,"Rice, paddy",2007,89,5390.79,17.42,13375,5
181,Algeria,Sorghum,2007,89,5390.79,17.42,119059,6
182,Algeria,Wheat,2007,89,5390.79,17.42,12742,9
183,Algeria,Maize,2008,89,11556.12,17.55,44714,2
184,Algeria,Potatoes,2008,89,11556.12,17.55,236393,4
185,Algeria,"Rice, paddy",2008,89,11556.12,17.55,13952,5
186,Algeria,Sorghum,2008,89,11556.12,17.55,61786,6
187,Algeria,Wheat,2008,89,11556.12,17.55,11038,9
188,Algeria,Maize,2009,89,3867.99,17.78,30914,2
189,Algeria,Potatoes,2009,89,3867.99,17.78,250764,4
190,Algeria,"Rice, paddy",2009,89,3867.99,17.78,14594,5
191,Algeria,Sorghum,2009,89,3867.99,17.78,90465,6
192,Algeria,Wheat,2009,89,3867.99,17.78,15975,9
193,Algeria,Maize,2010,89,1295.88,17.59,25827,2
194,Algeria,Potatoes,2010,89,1295.88,17.59,270526,4
195,Algeria,"Rice, paddy",2010,89,1295.88,17.59,15305,5
196,Algeria,Sorghum,2010,89,1295.88,17.59,30286,6
197,Algeria,Wheat,2010,89,1295.88,17.59,14838,9
198,Algeria,Maize,2011,89,13861.76,17.79,23374,2
199,Algeria,Potatoes,2011,89,13861.76,17.79,292806,4
200,Algeria,"Rice, paddy",2011,89,13861.76,17.79,16081,5
201,Algeria,Sorghum,2011,89,13861.76,17.79,100000,6
202,Algeria,Wheat,2011,89,13861.76,17.79,17405,9
203,Algeria,Maize,2012,89,17379.76,17.91,25583,2
204,Algeria,Potatoes,2012,89,17379.76,17.91,304291,4
205,Algeria,"Rice, paddy",2012,89,17379.76,17.91,16667,5
206,Algeria,Sorghum,2012,89,17379.76,17.91,206000,6
207,Algeria,Wheat,2012,89,17379.76,17.91,17639,9
208,Algeria,Maize,2013,89,17278.65,17.65,33649,2
209,Algeria,Potatoes,2013,89,17278.65,17.65,303218,4
210,Algeria,"Rice, paddy",2013,89,17278.65,17.65,17778,5
211,Algeria,Sorghum,2013,89,17278.65,17.65,60000,6
212,Algeria,Wheat,2013,89,17278.65,17.65,19100,9
213,Angola,Cassava,1990,1010,64,24.12,41177,1
214,Angola,Maize,1990,1010,64,24.12,2736,2
215,Angola,Potatoes,1990,1010,64,24.12,40000,4
216,Angola,"Rice, paddy",1990,1010,64,24.12,9512,5
217,Angola,Sweet potatoes,1990,1010,64,24.12,89342,8
218,Angola,Wheat,1990,1010,64,24.12,7995,9
219,Angola,Cassava,1991,1010,79,24.02,40295,1
220,Angola,Maize,1991,1010,79,24.02,4013,2
221,Angola,Potatoes,1991,1010,79,24.02,40000,4
222,Angola,"Rice, paddy",1991,1010,79,24.02,10000,5
223,Angola,Sweet potatoes,1991,1010,79,24.02,83001,8
224,Angola,Wheat,1991,1010,79,24.02,8000,9
225,Angola,Cassava,1992,1010,23,23.96,42295,1
226,Angola,Maize,1992,1010,23,23.96,3778,2
227,Angola,Potatoes,1992,1010,23,23.96,40000,4
228,Angola,"Rice, paddy",1992,1010,23,23.96,9106,5
229,Angola,Sweet potatoes,1992,1010,23,23.96,90000,8
230,Angola,Wheat,1992,1010,23,23.96,8000,9
231,Angola,Cassava,1993,1010,169,24.15,42295,1
232,Angola,Maize,1993,1010,169,24.15,2627,2
233,Angola,Potatoes,1993,1010,169,24.15,70000,4
234,Angola,"Rice, paddy",1993,1010,169,24.15,8000,5
235,Angola,Sweet potatoes,1993,1010,169,24.15,88095,8
236,Angola,Wheat,1993,1010,169,24.15,8876,9
237,Angola,Cassava,1994,1010,25.5,24.04,58596,1
238,Angola,Maize,1994,1010,25.5,24.04,2463,2
239,Angola,Potatoes,1994,1010,25.5,24.04,90000,4
240,Angola,"Rice, paddy",1994,1010,25.5,24.04,8750,5
241,Angola,Sweet potatoes,1994,1010,25.5,24.04,83192,8
242,Angola,Wheat,1994,1010,25.5,24.04,10000,9
243,Angola,Cassava,1995,1010,336,24.56,51000,1
244,Angola,Maize,1995,1010,336,24.56,3517,2
245,Angola,Potatoes,1995,1010,336,24.56,76738,4
246,Angola,"Rice, paddy",1995,1010,336,24.56,14615,5
247,Angola,Sweet potatoes,1995,1010,336,24.56,81138,8
248,Angola,Wheat,1995,1010,336,24.56,11855,9
249,Angola,Cassava,1996,1010,40,24.11,48077,1
250,Angola,Maize,1996,1010,40,24.11,6993,2
251,Angola,Potatoes,1996,1010,40,24.11,70000,4
252,Angola,"Rice, paddy",1996,1010,40,24.11,17500,5
253,Angola,Sweet potatoes,1996,1010,40,24.11,85455,8
254,Angola,Wheat,1996,1010,40,24.11,13738,9
255,Angola,Cassava,1997,1010,40,24.06,44205,1
256,Angola,Maize,1997,1010,40,24.06,5959,2
257,Angola,Potatoes,1997,1010,40,24.06,68571,4
258,Angola,"Rice, paddy",1997,1010,40,24.06,20000,5
259,Angola,Sweet potatoes,1997,1010,40,24.06,78098,8
260,Angola,Wheat,1997,1010,40,24.06,15509,9
261,Angola,Cassava,1998,1010,40,24.96,55728,1
262,Angola,Maize,1998,1010,40,24.96,7396,2
263,Angola,Potatoes,1998,1010,40,24.96,62724,4
264,Angola,"Rice, paddy",1998,1010,40,24.96,20000,5
265,Angola,Sweet potatoes,1998,1010,40,24.96,76256,8
266,Angola,Wheat,1998,1010,40,24.96,17143,9
267,Angola,Cassava,1999,1010,40,24.37,59821,1
268,Angola,Maize,1999,1010,40,24.37,6361,2
269,Angola,Potatoes,1999,1010,40,24.37,54597,4
270,Angola,"Rice, paddy",1999,1010,40,24.37,14235,5
271,Angola,Sweet potatoes,1999,1010,40,24.37,82865,8
272,Angola,Wheat,1999,1010,40,24.37,17391,9
273,Angola,Cassava,2000,1010,40,24.41,82992,1
274,Angola,Maize,2000,1010,40,24.41,5745,2
275,Angola,Potatoes,2000,1010,40,24.41,29885,4
276,Angola,"Rice, paddy",2000,1010,40,24.41,13454,5
277,Angola,Sorghum,2000,1010,40,24.41,3333,6
278,Angola,Soybeans,2000,1010,40,24.41,2333,7
279,Angola,Sweet potatoes,2000,1010,40,24.41,34938,8
280,Angola,Wheat,2000,1010,40,24.41,17023,9
281,Angola,Cassava,2001,1010,40,24.43,94072,1
282,Angola,Maize,2001,1010,40,24.43,5754,2
283,Angola,Potatoes,2001,1010,40,24.43,42552,4
284,Angola,"Rice, paddy",2001,1010,40,24.43,13701,5
285,Angola,Sorghum,2001,1010,40,24.43,3571,6
286,Angola,Soybeans,2001,1010,40,24.43,2500,7
287,Angola,Sweet potatoes,2001,1010,40,24.43,44458,8
288,Angola,Wheat,2001,1010,40,24.43,16667,9
289,Angola,Cassava,2002,1010,40,24.79,110071,1
290,Angola,Maize,2002,1010,40,24.79,6706,2
291,Angola,Potatoes,2002,1010,40,24.79,42754,4
292,Angola,"Rice, paddy",2002,1010,40,24.79,13198,5
293,Angola,Sorghum,2002,1010,40,24.79,3400,6
294,Angola,Soybeans,2002,1010,40,24.79,2857,7
295,Angola,Sweet potatoes,2002,1010,40,24.79,42190,8
296,Angola,Wheat,2002,1010,40,24.79,15455,9
297,Angola,Cassava,2004,1010,40,24.22,125605,1
298,Angola,Maize,2004,1010,40,24.22,5404,2
299,Angola,Potatoes,2004,1010,40,24.22,20150,4
300,Angola,"Rice, paddy",2004,1010,40,24.22,11584,5
301,Angola,Sorghum,2004,1010,40,24.22,3333,6
302,Angola,Soybeans,2004,1010,40,24.22,3600,7
303,Angola,Sweet potatoes,2004,1010,40,24.22,45360,8
304,Angola,Wheat,2004,1010,40,24.22,12442,9
305,Angola,Cassava,2005,1010,40,24.41,117628,1
306,Angola,Maize,2005,1010,40,24.41,6736,2
307,Angola,Potatoes,2005,1010,40,24.41,23646,4
308,Angola,"Rice, paddy",2005,1010,40,24.41,6977,5
309,Angola,Sorghum,2005,1010,40,24.41,3333,6
310,Angola,Soybeans,2005,1010,40,24.41,3793,7
311,Angola,Sweet potatoes,2005,1010,40,24.41,46159,8
312,Angola,Wheat,2005,1010,40,24.41,10946,9
313,Angola,Cassava,2006,1010,40,24.14,117201,1
314,Angola,Maize,2006,1010,40,24.14,4687,2
315,Angola,Potatoes,2006,1010,40,24.14,52148,4
316,Angola,"Rice, paddy",2006,1010,40,24.14,4947,5
317,Angola,Sorghum,2006,1010,40,24.14,4091,6
318,Angola,Soybeans,2006,1010,40,24.14,4286,7
319,Angola,Sweet potatoes,2006,1010,40,24.14,44240,8
320,Angola,Wheat,2006,1010,40,24.14,10000,9
321,Angola,Cassava,2007,1010,40,24.24,115387,1
322,Angola,Maize,2007,1010,40,24.24,5091,2
323,Angola,Potatoes,2007,1010,40,24.24,62138,4
324,Angola,"Rice, paddy",2007,1010,40,24.24,5143,5
325,Angola,Sorghum,2007,1010,40,24.24,4031,6
326,Angola,Soybeans,2007,1010,40,24.24,6883,7
327,Angola,Sweet potatoes,2007,1010,40,24.24,58855,8
328,Angola,Wheat,2007,1010,40,24.24,10000,9
329,Angola,Cassava,2008,1010,40,24.27,148084,1
330,Angola,Maize,2008,1010,40,24.27,7946,2
331,Angola,Potatoes,2008,1010,40,24.27,85085,4
332,Angola,"Rice, paddy",2008,1010,40,24.27,5084,5
333,Angola,Sorghum,2008,1010,40,24.27,929,6
334,Angola,Soybeans,2008,1010,40,24.27,8575,7
335,Angola,Sweet potatoes,2008,1010,40,24.27,65437,8
336,Angola,Wheat,2008,1010,40,24.27,10000,9
337,Angola,Cassava,2009,1010,40,24.33,151759,1
338,Angola,Maize,2009,1010,40,24.33,6614,2
339,Angola,Potatoes,2009,1010,40,24.33,86509,4
340,Angola,"Rice, paddy",2009,1010,40,24.33,6028,5
341,Angola,Sorghum,2009,1010,40,24.33,2480,6
342,Angola,Soybeans,2009,1010,40,24.33,4449,7
343,Angola,Sweet potatoes,2009,1010,40,24.33,66475,8
344,Angola,Wheat,2009,1010,40,24.33,10000,9
345,Angola,Cassava,2010,1010,40,24.44,155782,1
346,Angola,Maize,2010,1010,40,24.44,7200,2
347,Angola,Potatoes,2010,1010,40,24.44,87425,4
348,Angola,"Rice, paddy",2010,1010,40,24.44,7403,5
349,Angola,Sorghum,2010,1010,40,24.44,2814,6
350,Angola,Soybeans,2010,1010,40,24.44,4446,7
351,Angola,Sweet potatoes,2010,1010,40,24.44,63001,8
352,Angola,Wheat,2010,1010,40,24.44,10526,9
353,Angola,Cassava,2011,1010,40,24.15,133649,1
354,Angola,Maize,2011,1010,40,24.15,7376,2
355,Angola,Potatoes,2011,1010,40,24.15,81366,4
356,Angola,"Rice, paddy",2011,1010,40,24.15,8914,5
357,Angola,Sorghum,2011,1010,40,24.15,3320,6
358,Angola,Soybeans,2011,1010,40,24.15,5294,7
359,Angola,Sweet potatoes,2011,1010,40,24.15,65512,8
360,Angola,Wheat,2011,1010,40,24.15,10959,9
361,Angola,Cassava,2012,1010,40,24.24,100073,1
362,Angola,Maize,2012,1010,40,24.24,7770,2
363,Angola,Potatoes,2012,1010,40,24.24,69381,4
364,Angola,"Rice, paddy",2012,1010,40,24.24,7703,5
365,Angola,Sorghum,2012,1010,40,24.24,998,6
366,Angola,Soybeans,2012,1010,40,24.24,1641,7
367,Angola,Sweet potatoes,2012,1010,40,24.24,52954,8
368,Angola,Wheat,2012,1010,40,24.24,11258,9
369,Angola,Cassava,2013,1010,40,24.55,140517,1
370,Angola,Maize,2013,1010,40,24.55,9467,2
371,Angola,Potatoes,2013,1010,40,24.55,63303,4
372,Angola,"Rice, paddy",2013,1010,40,24.55,12744,5
373,Angola,Sorghum,2013,1010,40,24.55,2415,6
374,Angola,Soybeans,2013,1010,40,24.55,4405,7
375,Angola,Sweet potatoes,2013,1010,40,24.55,73409,8
376,Angola,Wheat,2013,1010,40,24.55,9022,9
377,Argentina,Cassava,1990,591,26156,17.46,100000,1
378,Argentina,Cassava,1990,591,26156,17.67,100000,1
379,Argentina,Maize,1990,591,26156,17.46,34608,2
380,Argentina,Maize,1990,591,26156,17.67,34608,2
381,Argentina,Potatoes,1990,591,26156,17.46,202747,4
382,Argentina,Potatoes,1990,591,26156,17.67,202747,4
383,Argentina,"Rice, paddy",1990,591,26156,17.46,36709,5
384,Argentina,"Rice, paddy",1990,591,26156,17.67,36709,5
385,Argentina,Sorghum,1990,591,26156,17.46,28116,6
386,Argentina,Sorghum,1990,591,26156,17.67,28116,6
387,Argentina,Soybeans,1990,591,26156,17.46,21566,7
388,Argentina,Soybeans,1990,591,26156,17.67,21566,7
389,Argentina,Sweet potatoes,1990,591,26156,17.46,131864,8
390,Argentina,Sweet potatoes,1990,591,26156,17.67,131864,8
391,Argentina,Wheat,1990,591,26156,17.46,18947,9
392,Argentina,Wheat,1990,591,26156,17.67,18947,9
393,Argentina,Cassava,1991,591,26156,17.64,100000,1
394,Argentina,Cassava,1991,591,26156,17.86,100000,1
395,Argentina,Maize,1991,591,26156,17.64,40444,2
396,Argentina,Maize,1991,591,26156,17.86,40444,2
397,Argentina,Potatoes,1991,591,26156,17.64,205692,4
398,Argentina,Potatoes,1991,591,26156,17.86,205692,4
399,Argentina,"Rice, paddy",1991,591,26156,17.64,40294,5
400,Argentina,"Rice, paddy",1991,591,26156,17.86,40294,5
401,Argentina,Sorghum,1991,591,26156,17.64,33320,6
402,Argentina,Sorghum,1991,591,26156,17.86,33320,6
403,Argentina,Soybeans,1991,591,26156,17.64,22750,7
404,Argentina,Soybeans,1991,591,26156,17.86,22750,7
405,Argentina,Sweet potatoes,1991,591,26156,17.64,131364,8
406,Argentina,Sweet potatoes,1991,591,26156,17.86,131364,8
407,Argentina,Wheat,1991,591,26156,17.64,18972,9
408,Argentina,Wheat,1991,591,26156,17.86,18972,9
409,Argentina,Cassava,1992,591,26156,17.09,100000,1
410,Argentina,Cassava,1992,591,26156,17.51,100000,1
411,Argentina,Maize,1992,591,26156,17.09,45237,2
412,Argentina,Maize,1992,591,26156,17.51,45237,2
413,Argentina,Potatoes,1992,591,26156,17.09,199039,4
414,Argentina,Potatoes,1992,591,26156,17.51,199039,4
415,Argentina,"Rice, paddy",1992,591,26156,17.09,52075,5
416,Argentina,"Rice, paddy",1992,591,26156,17.51,52075,5
417,Argentina,Sorghum,1992,591,26156,17.09,36217,6
418,Argentina,Sorghum,1992,591,26156,17.51,36217,6
419,Argentina,Soybeans,1992,591,26156,17.09,22915,7
420,Argentina,Soybeans,1992,591,26156,17.51,22915,7
421,Argentina,Sweet potatoes,1992,591,26156,17.09,127273,8
422,Argentina,Sweet potatoes,1992,591,26156,17.51,127273,8
423,Argentina,Wheat,1992,591,26156,17.09,21809,9
424,Argentina,Wheat,1992,591,26156,17.51,21809,9
425,Argentina,Cassava,1993,591,26156,17.32,100000,1
426,Argentina,Cassava,1993,591,26156,17.53,100000,1
427,Argentina,Maize,1993,591,26156,17.32,43552,2
428,Argentina,Maize,1993,591,26156,17.53,43552,2
429,Argentina,Potatoes,1993,591,26156,17.32,210314,4
430,Argentina,Potatoes,1993,591,26156,17.53,210314,4
431,Argentina,"Rice, paddy",1993,591,26156,17.32,43559,5
432,Argentina,"Rice, paddy",1993,591,26156,17.53,43559,5
433,Argentina,Sorghum,1993,591,26156,17.32,39529,6
434,Argentina,Sorghum,1993,591,26156,17.53,39529,6
435,Argentina,Soybeans,1993,591,26156,17.32,21589,7
436,Argentina,Soybeans,1993,591,26156,17.53,21589,7
437,Argentina,Sweet potatoes,1993,591,26156,17.32,122955,8
438,Argentina,Sweet potatoes,1993,591,26156,17.53,122955,8
439,Argentina,Wheat,1993,591,26156,17.32,23272,9
440,Argentina,Wheat,1993,591,26156,17.53,23272,9
441,Argentina,Cassava,1994,591,30195,18.17,100000,1
442,Argentina,Cassava,1994,591,30195,18.31,100000,1
443,Argentina,Maize,1994,591,30195,18.17,42371,2
444,Argentina,Maize,1994,591,30195,18.31,42371,2
445,Argentina,Potatoes,1994,591,30195,18.17,230166,4
446,Argentina,Potatoes,1994,591,30195,18.31,230166,4
447,Argentina,"Rice, paddy",1994,591,30195,18.17,42989,5
448,Argentina,"Rice, paddy",1994,591,30195,18.31,42989,5
449,Argentina,Sorghum,1994,591,30195,18.17,35065,6
450,Argentina,Sorghum,1994,591,30195,18.31,35065,6
451,Argentina,Soybeans,1994,591,30195,18.17,20386,7
452,Argentina,Soybeans,1994,591,30195,18.31,20386,7
453,Argentina,Sweet potatoes,1994,591,30195,18.17,176667,8
454,Argentina,Sweet potatoes,1994,591,30195,18.31,176667,8
455,Argentina,Wheat,1994,591,30195,18.17,20237,9
456,Argentina,Wheat,1994,591,30195,18.31,20237,9
457,Argentina,Cassava,1995,591,37842,17.74,100000,1
458,Argentina,Cassava,1995,591,37842,17.62,100000,1
